"nombre","ABEJORRAL","ABRIAQUI","ALEJANDRIA","AMAGA","AMALFI","ANDES","ANGELOPOLIS","ANGOSTURA","ANORI","ANTIOQUIA","ANZA","APARTADO","ARBOLETES","ARGELIA","ARMENIA","BARBOSA","BELLO","BELMIRA","BETANIA","BETULIA","BOLIVAR","BRICEÃO","BURITICA","CACERES","CAICEDO","CALDAS","CAMPAMENTO","CAÃASGORDAS","CARACOLI","CARAMANTA","CAREPA","CARMEN DE VIBORAL","CAROLINA","CAUCASIA","CHIGORODO","CISNEROS","COCORNA","CONCEPCION","CONCORDIA","COPACABANA","DABEIBA","DON MATIAS","EBEJICO","EL BAGRE","ENTRERRIOS","ENVIGADO","FREDONIA","FRONTINO","GIRALDO","GIRARDOTA","GOMEZ PLATA","GRANADA","GUADALUPE","GUARNE","GUATAPE","HELICONIA","HISPANIA","ITAGUI","ITUANGO","JARDIN","JERICO","LA CEJA","LA ESTRELLA","LA PINTADA","LA UNION","LIBORINA","MACEO","MARINILLA","MEDELLIN","MONTEBELLO","MURINDO","MUTATA","NARIÃO","NECHI","NECOCLI","OLAYA","PEÃOL","PEQUE","PUEBLORRICO","PUERTO BERRIO","PUERTO NARE-LA MAGDALENA","PUERTO TRIUNFO","REMEDIOS","RETIRO","RIONEGRO","SABANALARGA","SABANETA","SALGAR","SAN ANDRES","SAN CARLOS","SAN FRANCISCO","SAN JERONIMO","SAN JOSE DE LA MONTAÃA","SAN JUAN DE URABA","SAN LUIS","SAN PEDRO","SAN PEDRO DE URABA","SAN RAFAEL","SAN ROQUE","SAN VICENTE","SANTA BARBARA","SANTA ROSA DE OSOS","SANTO DOMINGO","SANTUARIO","SEGOVIA","SONSON","SOPETRAN","TAMESIS","TARAZA","TARSO","TITIRIBI","TOLEDO","TURBO","URAMITA","URRAO","VALDIVIA","VALPARAISO","VEGACHI","VENECIA","VIGIA DEL FUERTE","YALI","YARUMAL","YOLOMBO","YONDO-CASABE","ZARAGOZA"
"CESAR EUGENIO MARTINEZ RESTREPO",6,50,11,162,56,21,17,587,21,64,197,86,11,32,2,382,1135,473,42,119,424,180,230,37,2,438,6,298,65,65,41,84,10,370,25,27,45,15,4,215,45,165,11,16,232,1446,34,37,12,66,106,21,47,24,25,40,6,1291,27,13,21,39,116,21,13,1068,8,354,6231,1,1,15,2,99,189,3,125,6,1,26,3,7,10,11,686,275,351,4,18,63,5,101,199,15,185,1197,33,25,151,18,23,709,42,1462,6,17,332,9,215,0,24,12,48,6,13,284,135,427,25,0,36,624,9,25,8
"NATALIA MARIA CALLEJAS ACOSTA",4,4,7,12,9,3,5,20,4,10,2,19,22,1,4,24,546,4,0,4,2,15,2,13,6,43,13,42,7,1,11,18,5,21,5,25,3,7,0,46,1,47,8,59,10,141,29,4,8,41,7,6,5,25,3,3,1,152,31,26,2,10,47,1,11,2,3,9,1042,1,0,12,6,21,10,1,8,0,1,35,2,3,2,5,27,11,37,7,6,33,12,1,8,3,10,61,9,21,18,11,5,103,22,6,9,14,6,26,46,0,1,5,20,1,5,20,3,4,3,1,3,43,14,1,10
"NATALIA ARCILA CORTES",4,0,1,6,14,8,2,10,11,0,0,3,0,0,5,6,129,0,1,0,4,0,1,2,0,7,0,1,2,0,3,13,4,7,4,19,16,0,4,4,0,6,3,26,2,46,4,6,1,10,2,1,1,7,0,0,0,62,3,3,4,0,20,0,5,1,9,3,850,2,0,1,46,8,8,1,2,2,0,14,3,1,1,4,10,4,11,0,2,15,6,1,6,2,1,3,3,21,7,3,1,21,8,9,4,4,4,2,0,1,0,0,8,2,0,3,15,2,2,3,2,6,1,3,6
"RUBEL AUGUSTO OCAMPO VALENCIA",2,0,12,10,1,7,0,5,0,7,1,13,7,0,0,10,181,1,1,4,2,0,2,3,0,11,2,0,3,0,4,2,3,7,5,2,18,1,1,11,1,11,3,18,1,56,3,1,0,17,2,0,4,7,0,1,1,327,4,5,2,8,38,1,2,4,2,8,574,1,3,1,2,3,9,0,0,0,1,6,1,20,0,3,29,2,23,2,2,15,7,1,3,5,4,14,18,11,7,3,3,33,5,6,3,13,1,5,7,0,0,1,10,0,1,1,0,2,0,0,0,17,2,1,2
"BLANCA INES VARGAS PARDO",1,1,1,0,0,0,0,1,0,1,0,10,2,0,0,3,54,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,3,5,4,1,2,1,0,8,2,0,4,6,0,22,1,1,0,10,1,0,1,2,0,5,1,30,1,1,0,3,3,1,0,4,1,5,232,2,0,1,1,5,8,0,0,0,0,5,0,1,2,1,7,1,4,0,2,2,0,0,0,0,0,12,2,1,2,1,0,11,2,6,0,4,1,3,1,0,1,1,3,1,2,1,2,0,1,1,0,2,2,0,6
"MARIA EUGENIA PRESIGA OSORIO",1,6,34,17,12,5,3,67,0,8,22,19,1,19,0,21,150,53,1,23,33,16,19,11,1,48,0,17,17,17,12,4,17,50,11,6,62,4,0,22,13,7,4,4,20,156,8,5,2,10,7,38,3,21,5,4,0,151,3,10,3,61,25,1,13,51,0,69,1002,0,0,3,9,22,95,1,28,0,4,8,1,30,0,6,82,24,52,2,3,48,7,11,14,7,26,79,5,64,41,19,1,30,5,206,2,48,26,2,82,0,11,1,9,4,1,34,13,54,3,0,6,19,0,3,2
"PARTIDO LIBERAL COLOMBIANO",1008,106,183,600,538,596,484,172,1048,840,741,3550,957,92,776,3747,17076,923,1868,927,877,474,506,2988,606,2036,733,630,118,472,3690,886,204,4773,2365,1202,211,459,794,4328,1835,575,1346,4109,892,11531,1479,1498,431,2227,763,123,1051,841,293,422,641,7535,500,281,1006,920,2913,462,1041,275,549,1292,62388,467,274,770,37,1491,2105,170,1604,1095,677,1765,1364,292,480,707,2037,489,3124,953,272,159,27,1694,262,1126,125,545,2418,109,237,1044,1769,474,173,671,894,404,842,211,3078,1498,722,422,7555,639,1142,1141,325,606,1509,255,132,2098,1458,1010,1482
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",124,2,23,98,72,19,43,20,135,92,117,420,98,12,63,230,1474,55,160,114,89,43,68,479,92,180,101,43,11,43,226,77,29,484,281,99,12,56,92,218,198,35,174,282,88,828,136,201,38,135,42,13,316,111,7,39,41,544,154,22,112,85,270,37,94,28,71,62,5567,51,20,80,7,145,327,22,84,115,107,173,241,22,80,51,201,59,169,199,27,25,3,85,21,150,6,67,163,10,46,69,231,43,26,47,216,74,48,23,250,68,81,44,1045,73,120,167,17,91,235,68,16,176,133,94,206
"IVAN DARIO AGUDELO ZAPATA",566,0,39,52,42,359,16,10,23,64,363,469,91,30,302,387,719,207,37,150,45,8,326,154,257,427,556,157,20,389,184,106,106,164,85,106,10,226,571,584,215,24,632,156,375,693,105,77,41,497,299,54,326,104,11,119,39,1689,47,43,41,319,866,46,523,55,313,800,12458,214,18,65,6,54,109,16,1040,94,146,307,177,119,91,401,484,35,541,17,164,18,6,35,134,30,27,171,145,15,82,120,128,39,22,189,157,80,175,35,116,33,39,17,2694,107,98,506,21,48,500,16,36,488,44,460,53
"JULIAN BEDOYA PULGARIN",180,58,43,31,24,69,4,103,23,223,5,468,146,25,13,129,576,594,941,11,74,93,41,426,56,130,14,363,21,8,1057,465,5,1308,507,469,3,16,18,140,60,6,30,2747,36,509,271,25,295,88,130,8,332,10,1,6,409,618,8,38,128,89,1070,38,45,56,25,40,5071,111,166,119,2,624,773,0,23,125,71,301,398,33,118,75,209,271,128,44,17,15,3,217,82,22,5,72,1634,5,32,497,966,33,13,8,271,67,38,9,398,48,190,22,1049,37,404,393,3,258,87,0,4,39,896,331,799
