"nombre","ALMEIDA","AQUITANIA (PUEBLOVIEJO)","ARCABUCO","BELEN","BERBEO","BETEITIVA","BOAVITA","BOYACA","BRICEÃO","BUENAVISTA","BUSBANZA","CALDAS","CAMPOHERMOSO","CERINZA","CHINAVITA","CHIQUINQUIRA","CHIQUIZA","CHISCAS","CHITA","CHITARAQUE","CHIVATA","CHIVOR","CIENEGA","COMBITA","COPER","CORRALES","COVARACHIA","CUBARA","CUCAITA","CUITIVA","DUITAMA","EL COCUY","EL ESPINO","FIRAVITOBA","FLORESTA","GACHANTIVA","GAMEZA","GARAGOA","GUACAMAYAS","GUATEQUE","GUAYATA","GUICAN","IZA","JENESANO","JERICO","LA CAPILLA","LA UVITA","LA VICTORIA","LABRANZAGRANDE","MACANAL","MARIPI","MIRAFLORES","MONGUA","MONGUI","MONIQUIRA","MOTAVITA","MUZO","NOBSA","NUEVO COLON","OICATA","OTANCHE","PACHAVITA","PAEZ","PAIPA","PAJARITO","PANQUEBA","PAUNA","PAYA","PAZ DE RIO","PESCA","PISBA","PUERTO BOYACA","QUIPAMA","RAMIRIQUI","RAQUIRA","RONDON","SABOYA","SACHICA","SAMACA","SAN EDUARDO","SAN JOSE DE PARE","SAN LUIS DE GACENO","SAN MATEO","SAN MIGUEL DE SEMA","SAN PABLO DE BORBUR","SANTA MARIA","SANTA ROSA DE VITERBO","SANTA SOFIA","SANTANA","SATIVANORTE","SATIVASUR","SIACHOQUE","SOATA","SOCHA","SOCOTA","SOGAMOSO","SOMONDOCO","SORA","SORACA","SOTAQUIRA","SUSACON","SUTAMARCHAN","SUTATENZA","TASCO","TENZA","TIBANA","TIBASOSA","TINJACA","TIPACOQUE","TOCA","TOGUI","TOPAGA","TOTA","TUNJA","TUNUNGUA","TURMEQUE","TUTA","TUTAZA","UMBITA","VENTAQUEMADA","VILLA DE LEIVA","VIRACACHA","ZETAQUIRA"
"BENIGNO HERNAN DIAZ CARDENAS",5,39,9,1,2,0,32,3,1,9,0,3,2,1,1,95,2,28,11,7,16,11,21,33,2,2,1,2,5,6,124,27,37,4,88,0,2,62,1,3,20,4,6,8,1,1,8,2,0,3,0,8,0,1,37,11,3,11,25,22,17,1,2,14,5,5,7,0,3,87,0,309,8,13,8,7,15,5,7,1,3,37,12,7,7,17,16,5,4,2,0,19,23,4,2,108,4,3,49,8,0,9,1,2,7,4,36,10,2,59,2,1,1,2087,6,1,23,0,0,13,141,12,2
"CANDIDATURA NO ACEPTADA",4,43,2,3,2,4,5,2,2,3,1,1,0,8,7,48,2,0,2,3,3,0,3,12,2,1,0,4,1,0,154,2,5,3,4,4,3,7,0,8,4,1,1,2,0,3,2,0,0,1,0,2,22,0,17,2,37,7,5,1,22,4,2,20,2,0,6,0,0,2,0,60,15,5,11,5,10,1,1,1,10,8,5,2,40,1,9,6,7,11,1,12,18,4,7,96,0,1,1,10,3,0,1,1,7,0,13,9,2,7,13,2,0,105,1,2,2,0,3,11,14,2,0
"MAYRA ALEJANDRA VIANCHA SANABRIA",3,11,1,6,0,0,2,1,1,0,0,0,0,0,1,40,0,1,2,1,1,3,0,3,1,1,3,2,3,0,70,2,0,1,0,2,0,9,6,3,0,2,1,2,0,0,1,1,0,3,0,0,5,5,7,3,2,43,2,3,3,1,1,20,1,0,4,0,0,0,0,48,2,4,3,0,6,0,2,0,0,3,1,6,1,1,6,1,2,1,2,5,6,1,1,75,1,2,5,8,1,3,1,6,2,0,6,2,0,4,4,4,2,148,1,0,3,1,0,4,9,1,0
"PARTIDO LIBERAL COLOMBIANO",63,222,349,739,280,172,94,466,66,233,8,396,201,86,34,2957,1031,742,166,406,87,36,111,766,347,29,41,397,176,89,2538,310,81,265,27,171,166,577,115,826,309,109,103,836,48,22,60,119,56,61,1103,1480,79,479,549,793,224,781,331,164,81,31,259,871,188,261,264,13,113,73,9,2240,282,1018,194,97,452,449,230,122,166,120,72,210,145,82,256,71,1192,33,163,387,313,668,363,6463,409,209,523,269,63,186,108,243,111,1575,302,99,293,706,341,71,513,8576,88,596,1045,138,62,921,1055,146,624
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",7,23,23,68,17,17,2,41,4,25,0,39,22,8,7,134,65,71,23,36,11,1,7,56,17,5,4,38,6,14,179,35,10,25,6,16,19,32,2,93,16,5,20,84,1,2,5,21,6,3,53,98,10,20,57,63,32,38,27,10,12,3,15,69,22,19,8,1,7,9,0,266,22,114,16,5,65,16,38,3,15,3,5,31,7,9,26,4,140,7,15,30,22,59,69,381,23,14,35,42,1,15,15,22,16,194,38,5,31,41,44,12,44,396,7,55,72,12,4,95,50,23,47
"LUIS ALEJANDRO GUTIERREZ SANABRIA",29,117,111,516,17,16,51,31,33,87,4,141,91,16,4,503,158,526,17,89,16,6,11,180,98,14,16,131,15,49,823,164,37,143,9,82,53,203,106,63,8,51,49,41,33,7,17,30,13,10,921,120,27,317,82,89,54,511,54,27,45,2,13,254,67,221,178,6,29,32,5,358,21,336,35,47,74,183,87,13,29,38,55,8,86,24,79,8,40,4,6,73,112,101,118,4376,10,95,23,21,7,34,1,128,30,138,123,5,73,96,96,41,419,1597,52,15,69,15,6,119,216,7,33
"MAYDA CECILIA VELASQUEZ RUEDA",15,12,5,16,3,1,8,10,1,7,2,4,2,3,9,75,8,19,8,4,5,2,2,16,4,1,2,9,5,5,135,8,0,19,2,13,7,66,1,55,5,0,4,17,2,6,1,14,4,18,10,41,6,21,29,16,21,42,7,6,3,4,8,31,2,4,11,0,2,2,2,75,50,67,6,4,7,7,12,6,0,10,2,5,4,13,19,2,27,2,8,10,15,19,14,340,307,10,13,12,8,11,56,12,7,10,15,2,27,16,5,7,19,449,1,11,37,2,3,26,34,4,8
"RAFAEL ROMERO PIÃEROS",7,19,160,52,66,124,14,297,5,31,0,30,57,16,10,641,161,84,33,251,20,7,75,103,86,5,6,63,117,8,592,67,22,37,9,32,13,197,3,401,39,2,18,301,9,4,23,9,3,7,21,1111,7,105,190,323,68,100,163,41,6,20,167,227,7,9,19,0,30,15,2,1044,20,413,46,13,73,85,41,68,84,50,1,38,9,8,88,37,780,4,127,126,114,86,112,605,11,48,205,76,32,75,23,37,53,1138,53,57,114,472,120,4,22,3121,2,447,617,11,29,504,375,57,430
"FERNANDO SANDOVAL RODRIGUEZ",2,3,17,20,2,8,2,21,1,4,2,3,0,4,2,42,16,8,7,5,20,2,1,43,6,3,0,10,5,1,138,3,2,5,0,2,2,3,0,19,4,2,0,12,2,0,1,5,11,1,9,5,9,0,14,40,18,15,31,11,5,0,1,22,1,1,3,4,5,3,0,59,9,13,8,7,23,4,5,3,8,3,1,2,6,4,14,1,13,4,1,12,9,162,28,122,3,13,14,74,4,12,1,1,1,6,11,9,5,15,5,1,2,820,4,1,27,2,4,17,22,5,7
"CESAR AUGUSTO LOPEZ MORALES",2,45,32,60,175,3,16,59,22,78,0,178,29,38,1,1510,612,14,75,20,13,18,13,351,136,0,11,138,28,11,617,26,10,30,1,25,68,73,3,169,236,49,8,361,0,3,12,38,17,22,87,89,17,16,169,248,31,57,42,66,8,2,54,247,89,7,41,2,40,12,0,392,160,64,80,21,198,148,44,24,23,14,6,105,30,23,28,19,155,11,5,132,32,235,20,542,53,29,219,32,10,38,10,22,4,60,55,18,41,49,69,5,3,2024,20,49,211,95,15,137,347,44,94
