"nombre","ALMEIDA","AQUITANIA (PUEBLOVIEJO)","ARCABUCO","BELEN","BERBEO","BETEITIVA","BOAVITA","BOYACA","BRICEÃO","BUENAVISTA","BUSBANZA","CALDAS","CAMPOHERMOSO","CERINZA","CHINAVITA","CHIQUINQUIRA","CHIQUIZA","CHISCAS","CHITA","CHITARAQUE","CHIVATA","CHIVOR","CIENEGA","COMBITA","COPER","CORRALES","COVARACHIA","CUBARA","CUCAITA","CUITIVA","DUITAMA","EL COCUY","EL ESPINO","FIRAVITOBA","FLORESTA","GACHANTIVA","GAMEZA","GARAGOA","GUACAMAYAS","GUATEQUE","GUAYATA","GUICAN","IZA","JENESANO","JERICO","LA CAPILLA","LA UVITA","LA VICTORIA","LABRANZAGRANDE","MACANAL","MARIPI","MIRAFLORES","MONGUA","MONGUI","MONIQUIRA","MOTAVITA","MUZO","NOBSA","NUEVO COLON","OICATA","OTANCHE","PACHAVITA","PAEZ","PAIPA","PAJARITO","PANQUEBA","PAUNA","PAYA","PAZ DE RIO","PESCA","PISBA","PUERTO BOYACA","QUIPAMA","RAMIRIQUI","RAQUIRA","RONDON","SABOYA","SACHICA","SAMACA","SAN EDUARDO","SAN JOSE DE PARE","SAN LUIS DE GACENO","SAN MATEO","SAN MIGUEL DE SEMA","SAN PABLO DE BORBUR","SANTA MARIA","SANTA ROSA DE VITERBO","SANTA SOFIA","SANTANA","SATIVANORTE","SATIVASUR","SIACHOQUE","SOATA","SOCHA","SOCOTA","SOGAMOSO","SOMONDOCO","SORA","SORACA","SOTAQUIRA","SUSACON","SUTAMARCHAN","SUTATENZA","TASCO","TENZA","TIBANA","TIBASOSA","TINJACA","TIPACOQUE","TOCA","TOGUI","TOPAGA","TOTA","TUNJA","TUNUNGUA","TURMEQUE","TUTA","TUTAZA","UMBITA","VENTAQUEMADA","VILLA DE LEIVA","VIRACACHA","ZETAQUIRA"
"WALTER ESTEVEN BENAVIDES CIFUENTES",0,15,1,132,2,1,9,41,0,0,0,0,1,6,0,17,12,0,0,0,50,0,3,16,0,5,0,2,29,5,177,0,0,13,1,0,2,4,3,2,1,0,1,3,0,1,1,0,2,0,0,7,5,49,21,31,1,58,9,7,2,3,0,521,0,0,0,0,1,4,0,18,0,43,2,0,2,10,3,4,2,1,0,1,2,0,11,0,0,17,1,132,13,5,0,96,0,19,156,37,0,2,1,38,0,8,53,1,1,28,0,1,4,433,0,89,19,67,11,57,12,39,0
"JOSE CARMEN JULIO MARQUEZ CHIA",0,2,1,1,1,0,3,1,0,2,0,1,0,2,0,14,4,0,2,0,1,0,9,3,0,0,0,1,2,0,75,3,1,1,3,0,2,3,0,8,2,2,1,2,0,1,1,0,0,1,0,1,0,1,3,1,1,10,1,2,1,0,0,20,0,0,1,0,6,4,0,19,0,1,0,0,3,1,3,0,0,0,1,2,2,0,2,2,1,1,0,32,2,3,0,41,1,0,11,5,0,3,0,7,2,5,8,4,0,3,0,0,0,66,0,2,3,0,1,2,3,4,8
"MOVIMIENTO "" MIRA """,7,53,26,20,12,1,13,18,2,9,4,6,1,8,20,428,2,2,6,5,7,6,20,17,0,3,4,6,3,6,1191,8,4,36,3,10,13,268,0,87,21,6,4,44,11,41,5,0,1,24,10,73,5,4,99,9,33,85,75,6,49,11,2,229,2,4,35,0,9,11,1,427,13,35,23,5,128,42,52,7,6,16,17,8,16,10,30,4,12,9,3,18,12,9,5,940,6,5,26,9,2,11,13,125,45,53,45,9,16,17,5,27,10,979,9,131,19,1,16,16,41,14,15
"SOLO LISTA MOVIMIENTO "" MIRA """,1,11,8,3,3,0,3,3,1,3,2,1,0,1,3,48,0,2,1,1,2,2,3,6,0,0,0,2,0,0,179,3,1,9,1,1,1,57,0,11,2,0,0,10,1,9,0,0,0,3,1,11,3,0,21,3,11,11,12,1,3,3,0,42,1,2,9,0,1,2,0,54,5,5,6,0,33,17,12,4,3,5,0,0,1,2,8,2,3,1,0,0,2,0,2,133,2,1,3,2,0,5,2,23,7,11,15,4,1,2,2,1,4,122,5,8,5,1,2,1,5,4,0
"ALFREDO DE JESUS MONTIEL BARRIOS",3,8,0,7,0,0,2,1,0,1,1,1,0,3,2,25,0,0,2,2,0,0,1,1,0,0,0,3,0,0,795,2,1,7,0,3,5,17,0,7,4,0,2,1,2,2,1,0,1,6,4,8,0,1,7,3,3,26,8,0,1,0,0,152,0,1,6,0,2,7,0,25,0,0,1,2,4,1,2,0,0,1,5,1,3,4,14,2,1,4,0,4,5,5,1,56,1,0,1,5,1,1,5,4,4,3,16,0,11,7,0,2,1,79,0,6,3,0,3,4,1,0,0
"RUTH NELSSY GARCIA VARGAS",2,4,18,2,0,0,0,11,0,0,0,2,0,1,0,9,1,0,1,2,3,1,0,5,0,0,2,0,2,1,34,1,1,3,0,3,0,8,0,3,0,3,1,3,2,2,2,0,0,2,1,4,1,1,8,1,2,6,2,2,1,0,1,14,1,0,2,0,0,0,0,12,0,7,6,0,3,0,30,1,1,2,3,0,1,1,4,0,1,1,1,8,2,0,1,35,0,3,16,0,0,1,1,1,1,1,2,2,3,3,1,0,3,635,0,4,5,0,7,5,1,7,3
"FRANCISCO JAVIER PARRA PARRA",1,2,0,0,0,0,0,2,0,0,0,0,1,0,7,7,0,0,0,0,1,2,3,1,0,0,0,0,0,0,31,0,0,5,0,0,0,167,0,58,8,0,0,26,1,24,0,0,0,10,0,1,0,0,3,1,1,5,46,0,1,1,0,5,0,0,0,0,1,0,0,9,0,21,0,0,2,1,0,0,0,5,0,0,0,2,0,0,1,0,0,0,1,2,0,27,2,0,0,0,0,1,4,1,30,32,6,1,0,1,0,4,0,62,0,101,2,0,1,0,0,0,0
"NANCY YAMILE MARTINEZ TORRES",0,6,0,6,1,0,0,0,0,2,0,1,0,2,1,19,0,0,1,0,1,0,1,2,0,2,2,0,1,2,57,1,0,1,2,3,0,4,0,3,3,0,0,0,4,2,0,0,0,2,1,1,1,1,4,1,2,6,2,2,1,4,0,5,0,0,0,0,0,1,1,309,2,0,1,2,6,0,2,1,0,3,1,2,1,0,3,0,4,2,1,3,1,1,0,38,0,1,2,1,0,2,0,4,0,0,0,0,1,1,1,2,0,41,0,5,3,0,1,2,2,2,0
"JOSE GENARO MOLINA PORRAS",0,1,0,1,0,1,0,1,1,3,0,1,0,1,6,314,1,0,0,0,0,0,1,1,0,1,0,1,0,0,38,1,0,0,0,0,0,2,0,4,0,1,0,1,0,2,0,0,0,1,3,0,0,0,54,0,13,3,2,0,41,2,1,6,0,0,13,0,0,0,0,6,5,1,8,1,75,20,1,0,2,0,1,5,9,0,1,0,2,1,0,3,0,0,1,18,0,0,2,0,1,0,1,4,1,5,2,2,0,2,0,0,0,17,4,3,0,0,1,3,31,1,0
"DIEGO FERNANDO MARTINEZ SANCHEZ",0,21,0,1,8,0,8,0,0,0,1,0,0,0,1,6,0,0,1,0,0,1,11,1,0,0,0,0,0,3,57,0,1,11,0,0,7,13,0,1,4,2,1,3,1,0,2,0,0,0,0,48,0,1,2,0,1,28,3,1,1,1,0,5,0,1,5,0,5,1,0,12,1,1,1,0,5,3,5,1,0,0,7,0,1,1,0,0,0,0,1,0,1,1,0,633,1,0,2,1,0,1,0,88,2,1,4,0,0,1,1,18,2,23,0,4,1,0,1,1,1,0,12
"PARTIDO UNION PATRIOTICA ""UP""",3,26,15,10,2,4,14,5,8,5,0,3,1,8,6,99,3,3,14,6,2,4,14,15,7,2,6,7,7,3,431,3,3,14,5,7,9,30,2,8,8,0,8,19,5,7,0,1,4,4,3,12,9,4,41,6,12,91,14,9,2,9,4,71,5,2,19,2,11,7,2,55,6,28,7,3,22,9,10,3,9,7,6,5,6,7,21,6,2,4,0,14,14,11,15,399,6,1,9,17,8,8,16,12,5,15,44,8,6,28,13,5,6,812,0,16,16,2,38,14,34,8,9
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",2,5,7,1,1,4,4,3,5,4,0,3,1,7,1,32,0,3,8,4,2,1,8,4,5,1,4,3,2,2,109,3,1,6,2,4,7,13,2,5,6,0,1,5,2,2,0,1,2,2,3,7,1,2,17,2,4,17,5,5,0,3,2,26,2,1,10,1,4,2,0,26,3,8,1,0,13,5,6,1,5,4,4,2,3,2,8,1,2,1,0,2,6,4,9,112,2,0,6,2,3,3,8,2,0,9,6,4,5,10,4,3,1,210,0,3,7,2,10,5,8,4,7
"MARYORY CATHERIN ORTIZ ALVAREZ",1,21,8,9,1,0,10,2,3,1,0,0,0,1,5,67,3,0,6,2,0,3,6,11,2,1,2,4,5,1,322,0,2,8,3,3,2,17,0,3,2,0,7,14,3,5,0,0,2,2,0,5,8,2,24,4,8,74,9,4,2,6,2,45,3,1,9,1,7,5,2,29,3,20,6,3,9,4,4,2,4,3,2,3,3,5,13,5,0,3,0,12,8,7,6,287,4,1,3,15,5,5,8,10,5,6,38,4,1,18,9,2,5,602,0,13,9,0,28,9,26,4,2
