"nombre","BOGOTA. D.C."
"ALVARO ORLANDO CORNEJO AYALA",4603
"DIEGO RODRIGO TORRES TAMAYO",4434
"EMIR LOPEZ PIZA",4150
"MAURICIO FERNANDEZ BUENO",3850
"MANUEL DE JESUS ALVAREZ VASCO",2700
"MARIA ISABEL SEPULVEDA VELANDIA",2478
"RITO ORLANDO PALACIOS NIÃO",1892
"ROSARIO PASCUAS AGUILERA",1882
"BLANCA NIBIA RODRIGUEZ",1708
"LUIS HERNANDO ORTIZ BELLO",1612
"HILDA MARIA SANCHEZ MARTINEZ",1330
"HERSON MAURICIO OCHOA OCHOA",1294
"MARIA DEL PILAR NARANJO TELLEZ",1258
"LUZ ESPERANZA MARTINEZ MORA",1133
"JOSE SALOMON RANGEL ROCHA",1086
"PARTIDO CONSERVADOR COLOMBIANO",63014
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",8096
"TELESFORO PEDRAZA ORTEGA",10818
"JAIRO GOMEZ BUITRAGO",10517
"JOSE JAIME USCATEGUI PASTRANA",5385
"MORGAN EMIGDIO DORIA PATERNINA",4678
"MARIA ELISA URIBE VEGALARA",4129
"SILVERIO MONTAÃA MONTAÃA",3492
"DANIEL SEAN RAISBECK LOPEZ",3328
"JORGE IVAN MINA LASSO",1831
"JOSE GERARDO GUERRERO SILVA",1608
"LUIS ALFONSO BURGOS CARDENAS",1602
"JOSE ABIGAIL ROJAS SALAZAR",1404
"RICARDO BENITEZ MOJICA",1348
"CLEMENTINA VARGAS CABALLERO",1274
"LUIS ANGEL TORRES GOMEZ",1075
"MAIGRET PATRICIA RODRIGUEZ MERCADO",710
"AIXA MARGARITA ROSADO ORTEGA",634
"ROSA ALICIA PORTILLA ROSERO",574
"MARGARITA MARTINEZ GARZON",511
"PARTIDO UNION PATRIOTICA ""UP""",26875
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",8683
"JAIME CAICEDO TURRIAGO",10132
"RAFAEL ERNESTO SUAREZ ORJUELA",1410
"RICARDO ANDRES RUIZ VALLEJO",972
"JAIRO DARIO PEÃA SUAREZ",762
"BIBIANA MERCEDES PARRA ARIZA",699
"LAUREANO MONROY FUERTES",669
"AIDEE MORENO IBAGUE",509
"ALFONSO AHUMADA BARBOSA",483
"ALY RENATA CABRALES CUETO",436
"ANGEL EGIDIO RAMIREZ SANDOVAL",425
"ERNESTO PERICO TRIVIÃO",375
"GUIOMAR AZUCENA RODRIGUEZ LOPEZ DE MESA",359
"JAVIER ARROYO HERNANDEZ",352
"ANA CARLINA BOHORQUEZ TRIANA",308
"MIGUEL HUMBERTO VALENCIA RODRIGUEZ",301
"PARTIDO OPCION CIUDADANA",26694
"SOLO LISTA PARTIDO OPCION CIUDADANA",3295
"JAIME EULISES CAICEDO ESCOBAR",5190
"JORGE ELIECER FRANCO PINEDA",3554
"JORGE EDUARDO GOMEZ SOTOMAYOR",2628
"LUIS EDUARDO HERNANDEZ BRUCE",1947
"RICHARD BELLO RONCANCIO",1300
"E.LINDA PATRICIA MARTINEZ URREGO",1294
"ADRIANA SANCHEZ CORREA",1154
"FREDDY WILSON PILAMANRIQUE RODRIGUEZ",949
"RAFAEL DARIO VELANDIA GONZALEZ",826
"CRISTIAN LEONARDO GOMEZ LOTERO",796
"GIUSEPPE A NNUNZIATO CREAZZO BRUNO",753
"ANDREA PATRICIA CARRERO GAITAN",681
"NOEL SANTAMARIA JEREZ",672
"SANDRA MILENA QUIÃONES ARRIETA",453
"GIOVANNI TELLEZ SERRANO",393
"JOSE JESUS IBARGUEN IBARGUEN",392
"MARIA ESPERANZA NIÃO TELLEZ",210
"BEATRIZ BAUTISTA DIAZ",207
"MOV. POLITICO CIEN POR CIENTO POR COLOMBIA",4318
"SOLO LISTA MOV. POLITICO CIEN POR CIENTO POR COLOMBIA",4318
"GERMAN MIRANDA LOZANO",0
"ALEXANDER ROBLES SANCHEZ",0
"JOSE FRANCISCO VERGARA URREGO",0
"ALVARO PASTRANA FAJARDO",0
