"nombre","AGUADA","ALBANIA","ARATOCA","BARBOSA","BARICHARA","BARRANCABERMEJA","BETULIA","BOLIVAR","BUCARAMANGA","CABRERA","CALIFORNIA","CAPITANEJO","CARCASI","CEPITA","CERRITO","CHARALA","CHARTA","CHIMA","CHIPATA","CIMITARRA","CONCEPCION","CONFINES","CONTRATACION","COROMORO","CURITI","EL CARMEN","EL GUACAMAYO","EL PEÃON","EL PLAYON","ENCINO","ENCISO","FLORIAN","FLORIDABLANCA","GALAN","GAMBITA","GIRON","GUACA","GUADALUPE","GUAPOTA","GUAVATA","GUEPSA","HATO","JESUS MARIA","JORDAN","LA BELLEZA","LA PAZ","LANDAZURI","LEBRIJA","LOS SANTOS","MACARAVITA","MALAGA","MATANZA","MOGOTES","MOLAGAVITA","OCAMONTE","OIBA","ONZAGA","PALMAR","PALMAS DEL SOCORRO","PARAMO","PIEDECUESTA","PINCHOTE","PUENTE NACIONAL","PUERTO PARRA","PUERTO WILCHES","RIONEGRO","SABANA DE TORRES","SAN ANDRES","SAN BENITO","SAN GIL","SAN JOAQUIN","SAN JOSE DE MIRANDA","SAN MIGUEL","SAN VICENTE DE CHUCURI","SANTA BARBARA","SANTA HELENA DEL OPON","SIMACOTA","SOCORRO","SUAITA","SUCRE","SURATA","TONA","VALLE DE SAN JOSE","VELEZ","VETAS","VILLANUEVA","ZAPATOCA"
"INGRID YADIRA ARENAS SANABRIA",0,0,0,4,0,39,0,0,229,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,36,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,19,0,1,0,1,0,0,1,0,4,0,0,0,1,0,0,2,8,0,0,0,0,1,1,0,0,0
"ORLANDO BELTRAN QUESADA",0,2,2,29,2,92,3,3,1411,0,2,1,1,0,1,2,1,0,1,8,1,0,0,0,3,1,0,0,2,0,0,0,489,0,1,189,0,1,0,2,0,0,1,0,0,0,1,18,0,1,8,1,4,3,1,0,1,11,0,1,140,2,0,0,3,9,11,1,0,33,0,0,0,4,0,0,3,13,2,0,3,2,1,4,0,3,1
"MOVIMIENTO "" MIRA """,3,14,14,372,21,3145,5,10,3983,2,3,22,7,1,15,22,7,7,13,49,8,13,6,10,18,14,1,12,17,4,17,6,1872,1,3,783,7,11,6,12,4,0,57,3,14,4,9,179,25,3,165,9,24,10,9,52,10,1,10,7,774,10,131,12,88,78,43,14,5,198,7,8,5,137,6,11,16,385,10,17,8,7,9,175,4,21,12
"SOLO LISTA MOVIMIENTO "" MIRA """,0,3,1,58,6,308,1,1,460,1,0,2,5,1,3,2,0,1,4,6,2,4,1,3,6,1,1,0,5,1,1,1,250,1,0,105,0,3,0,2,1,0,9,1,5,0,3,15,2,0,25,1,4,0,1,12,2,1,2,1,86,2,21,1,14,12,8,3,1,25,1,2,1,16,0,1,3,52,4,8,1,2,1,31,1,2,5
"RAFAEL LEONARDO GRANADOS CARDENAS",2,4,6,5,2,2166,0,3,221,0,1,3,0,0,3,6,3,1,0,4,2,2,1,2,7,1,0,2,2,1,9,0,93,0,0,47,1,2,1,0,0,0,5,1,2,2,3,6,2,1,32,4,9,2,4,4,6,0,6,2,66,6,2,2,22,9,3,1,1,37,4,0,0,6,1,7,6,25,2,2,2,1,4,6,1,4,0
"JAIRO PINZON VILLABONA",1,1,0,3,1,61,1,0,221,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,1,1,0,0,0,0,1,0,72,0,0,30,3,1,0,0,1,0,1,1,1,0,1,5,0,1,11,0,1,0,0,2,1,0,0,0,22,0,2,6,4,5,5,1,0,2,0,0,0,5,2,0,0,6,1,0,2,0,1,2,0,0,0
"CARMEN ELISA BALAGUERA REYES",0,0,3,19,7,279,2,3,385,0,0,1,0,0,0,4,0,1,1,7,2,1,1,2,1,6,0,2,2,0,2,2,160,0,1,66,1,3,3,4,1,0,2,0,1,0,1,20,8,0,13,2,4,0,4,19,0,0,0,0,43,1,3,1,16,21,7,0,1,22,2,1,2,8,1,1,0,56,0,1,1,1,2,3,1,13,5
"YOLANDA QUIÃONEZ CHACON",0,1,1,4,1,65,0,1,104,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,2,45,0,0,108,0,0,0,1,1,0,1,0,0,0,0,7,1,0,1,0,0,0,0,1,0,0,0,0,21,0,4,1,1,1,3,1,1,4,0,0,0,2,0,0,0,7,0,4,1,0,0,2,0,0,1
"LADY MAYERLY SERRANO GOMEZ",0,0,0,19,1,44,0,0,124,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,8,0,0,0,0,249,0,0,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,40,0,2,0,1,4,4,0,0,15,0,1,0,2,0,0,0,6,0,1,0,1,0,3,1,0,0
"MANUEL DE JESUS LOPEZ MATEUS",0,2,0,63,0,34,1,1,34,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,11,0,0,0,2,0,0,28,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,13,0,31,0,0,1,2,0,0,1,0,0,0,2,0,0,0,3,0,1,0,0,0,19,0,0,0
"SECUNDINO ANTONIO CARDENAS PEREZ",0,3,3,201,3,188,0,1,2434,1,2,13,2,0,8,7,4,4,6,13,1,3,2,2,2,4,0,0,8,1,3,1,979,0,1,397,1,2,2,3,0,0,11,0,3,2,1,124,12,1,81,1,3,7,0,14,1,0,2,4,483,1,66,1,30,25,11,8,1,92,0,4,2,96,2,2,7,230,3,0,1,2,1,109,0,2,1
"POLO DEMOCRATICO ALTERNATIVO",3,15,81,135,47,3997,115,37,7080,6,11,8,9,5,28,78,10,7,8,180,14,14,14,27,74,387,6,25,51,8,9,16,2486,5,6,1384,14,24,8,19,16,8,6,12,10,13,56,262,44,5,98,21,45,11,10,80,27,0,10,13,1095,37,80,10,193,189,135,32,5,456,2,17,7,4558,17,18,20,193,21,16,24,17,28,122,12,84,133
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",3,5,9,38,7,980,11,11,1314,2,0,0,1,2,8,20,1,1,3,44,4,2,4,9,6,26,1,5,11,1,2,3,451,1,2,268,3,1,2,3,2,2,0,2,4,2,7,75,10,1,24,5,8,1,4,17,7,0,2,2,202,7,22,4,54,32,23,4,0,102,0,2,2,234,5,1,8,30,5,2,6,3,3,23,3,11,9
"OMAR ACEVEDO RAMIREZ",0,1,37,49,20,1242,99,17,1869,0,3,4,1,2,10,25,4,3,5,88,1,6,1,5,32,335,2,8,16,0,4,9,655,2,1,428,7,10,3,12,8,2,0,7,3,3,37,72,12,0,18,11,9,1,5,38,12,0,3,2,241,15,32,2,54,97,44,8,0,191,1,7,3,4237,0,2,0,75,5,6,2,3,9,64,2,44,107
"DARIO DE JESUS TORRES GOMEZ",0,3,11,5,3,882,1,0,321,2,0,1,3,1,6,11,3,1,0,13,3,3,2,8,7,9,1,2,10,3,1,1,144,1,3,116,2,5,1,1,0,2,0,1,1,4,7,22,9,3,10,1,8,3,1,13,7,0,1,1,78,5,6,1,17,24,28,4,2,28,0,3,1,13,2,8,3,15,5,3,5,6,2,14,0,9,7
"ELKIN ALEJANDRO BELTRAN JEREZ",0,2,7,5,2,88,0,0,224,0,0,2,0,0,1,1,0,0,0,14,3,2,3,1,3,2,0,1,3,1,1,1,131,0,0,58,0,0,0,2,2,0,2,0,0,0,1,6,0,0,7,0,0,0,0,1,0,0,0,0,28,4,1,1,3,7,8,5,2,9,0,0,0,20,0,4,2,8,1,1,1,1,2,4,2,0,3
"MONICA LILIANA LOPEZ LIZCANO",0,1,1,6,1,146,1,2,262,0,1,0,1,0,0,1,0,0,0,12,0,0,1,2,7,5,1,7,3,2,0,0,64,0,0,78,1,3,2,1,0,1,0,1,1,0,0,18,4,1,1,0,5,0,0,1,0,0,0,3,27,1,1,0,20,8,8,3,0,11,0,1,0,12,1,1,1,6,1,1,0,0,1,3,0,2,3
"RICARDO ANDRES ESLAVA NIÃO",0,0,3,21,13,481,1,1,2443,1,6,0,0,0,1,17,1,0,0,5,1,1,1,0,10,2,1,0,3,1,1,0,652,1,0,313,0,0,0,0,1,1,2,0,0,2,1,26,5,0,24,3,9,1,0,3,0,0,2,0,284,4,10,0,23,12,13,8,0,62,0,0,0,11,8,0,6,29,4,2,7,4,5,9,4,9,1
"DIANA RIOS GIL",0,0,9,6,0,63,0,1,181,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,80,0,0,29,0,1,0,0,1,0,0,0,0,0,2,10,0,0,3,0,1,0,0,1,0,0,0,2,144,0,1,0,4,3,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,3,1,1,2,1
"PRISCILA ANGULO PORRAS",0,3,4,5,1,115,2,5,466,1,1,1,3,0,2,2,1,2,0,3,2,0,1,2,8,8,0,2,3,0,0,2,309,0,0,94,1,4,0,0,2,0,2,1,1,2,1,33,4,0,11,1,5,5,0,6,1,0,2,3,91,1,7,2,18,6,11,0,1,40,1,4,1,31,1,2,0,20,0,1,3,0,3,4,0,7,2
"MOV. POLITICO CIEN POR CIENTO POR COLOMBIA",0,7,17,26,10,136,10,4,422,4,4,9,3,1,5,15,2,2,6,27,8,4,2,6,19,11,1,5,9,0,6,4,179,7,8,96,6,13,2,4,3,3,7,2,7,1,8,33,10,3,17,6,18,3,2,13,10,0,0,2,118,4,16,3,56,62,19,11,0,28,1,6,4,17,1,10,7,20,5,13,1,3,3,22,6,8,6
"SOLO LISTA MOV. POLITICO CIEN POR CIENTO POR COLOMBIA",0,7,17,26,10,136,10,4,422,4,4,9,3,1,5,15,2,2,6,27,8,4,2,6,19,11,1,5,9,0,6,4,179,7,8,96,6,13,2,4,3,3,7,2,7,1,8,33,10,3,17,6,18,3,2,13,10,0,0,2,118,4,16,3,56,62,19,11,0,28,1,6,4,17,1,10,7,20,5,13,1,3,3,22,6,8,6
"JESUS DIAZ VERA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARLOS EDUARDO SARMIENTO SARMIENTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FABIO EDUARDO DIAZ MALDONADO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIGIA AZUCENA GOMEZ VALENZUELA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANDRA MAYERLY GONZALEZ PEÃA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WILMER ALEXANDER URIBE FERNANDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
