"nombre","AGUADA","ALBANIA","ARATOCA","BARBOSA","BARICHARA","BARRANCABERMEJA","BETULIA","BOLIVAR","BUCARAMANGA","CABRERA","CALIFORNIA","CAPITANEJO","CARCASI","CEPITA","CERRITO","CHARALA","CHARTA","CHIMA","CHIPATA","CIMITARRA","CONCEPCION","CONFINES","CONTRATACION","COROMORO","CURITI","EL CARMEN","EL GUACAMAYO","EL PEÃON","EL PLAYON","ENCINO","ENCISO","FLORIAN","FLORIDABLANCA","GALAN","GAMBITA","GIRON","GUACA","GUADALUPE","GUAPOTA","GUAVATA","GUEPSA","HATO","JESUS MARIA","JORDAN","LA BELLEZA","LA PAZ","LANDAZURI","LEBRIJA","LOS SANTOS","MACARAVITA","MALAGA","MATANZA","MOGOTES","MOLAGAVITA","OCAMONTE","OIBA","ONZAGA","PALMAR","PALMAS DEL SOCORRO","PARAMO","PIEDECUESTA","PINCHOTE","PUENTE NACIONAL","PUERTO PARRA","PUERTO WILCHES","RIONEGRO","SABANA DE TORRES","SAN ANDRES","SAN BENITO","SAN GIL","SAN JOAQUIN","SAN JOSE DE MIRANDA","SAN MIGUEL","SAN VICENTE DE CHUCURI","SANTA BARBARA","SANTA HELENA DEL OPON","SIMACOTA","SOCORRO","SUAITA","SUCRE","SURATA","TONA","VALLE DE SAN JOSE","VELEZ","VETAS","VILLANUEVA","ZAPATOCA"
"PARTIDO LIBERAL COLOMBIANO",13,136,505,2980,375,9602,392,329,37923,11,57,438,414,500,543,549,66,693,598,4342,613,366,311,281,653,815,44,111,432,442,385,1246,13360,70,93,8623,756,81,392,960,1258,420,278,5,54,36,1159,2336,1185,143,715,195,469,89,530,1147,277,266,168,364,5177,211,1642,491,1933,1194,1974,711,284,2472,220,109,157,1703,100,277,895,2863,1265,265,137,1137,577,1645,12,86,179
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",3,32,75,225,47,1300,44,68,2711,0,11,33,50,31,63,31,1,62,88,395,71,45,52,47,74,75,8,33,67,28,42,136,1076,2,18,709,50,14,39,94,103,43,40,0,8,9,259,198,116,16,67,26,49,6,41,117,39,18,26,31,476,44,180,63,230,143,192,56,11,228,21,11,18,167,6,20,107,217,196,30,13,196,42,169,2,12,32
"MIGUEL ANGEL PINTO HERNANDEZ",4,52,17,375,31,900,26,96,9432,6,12,159,29,357,205,191,2,189,199,890,210,133,88,72,210,86,9,19,96,2,94,176,3882,8,41,4200,40,28,109,468,618,132,29,0,13,2,355,605,53,9,143,31,121,22,193,371,100,102,40,125,1104,44,293,381,189,538,855,214,196,431,42,47,82,448,47,92,406,733,875,30,43,231,166,367,5,11,8
"EDGAR ALFONSO GOMEZ ROMAN",2,29,128,250,97,4113,154,109,10875,3,27,72,267,84,118,165,8,231,93,2462,57,77,40,89,179,352,17,26,168,10,219,784,3840,22,25,2411,647,11,151,323,450,172,71,1,15,12,189,1029,803,64,214,124,244,17,220,355,28,17,26,116,2109,102,804,14,807,151,606,193,47,1054,101,16,41,752,34,21,237,968,128,56,28,624,219,711,1,48,76
"JORGE ELIECER GOMEZ VILLAMIZAR",2,7,240,136,184,2423,146,16,10344,1,5,152,55,14,130,113,20,108,197,239,234,93,28,48,131,252,4,16,66,376,18,100,2763,32,7,776,9,25,67,32,7,60,107,2,13,3,101,328,158,51,225,6,31,33,51,246,88,121,62,76,852,14,243,4,486,278,188,203,6,591,44,27,9,233,6,14,103,739,23,128,46,55,110,264,4,11,44
"DEYANIRA ARDILA GONZALEZ",1,0,5,1901,4,138,6,20,675,0,0,9,0,1,3,12,0,3,9,204,6,3,0,0,6,7,1,12,4,3,1,7,211,1,1,75,0,1,4,17,23,3,21,0,0,1,203,10,12,0,12,0,3,2,2,11,3,2,1,1,275,0,88,6,9,16,14,5,11,49,1,0,1,6,0,3,1,38,4,6,0,2,7,65,0,0,2
"SALVADOR RINCON SANTOS",1,10,10,45,9,457,12,4,2796,0,0,3,9,10,13,17,4,87,3,64,20,5,101,10,20,39,5,4,18,8,7,8,1129,4,1,319,5,1,5,11,44,4,5,1,3,8,23,100,25,2,42,8,8,7,13,30,5,2,7,8,257,2,19,5,144,50,92,30,12,81,1,5,2,79,4,125,24,113,23,9,1,13,19,32,0,2,12
"OMAIDA CUETO BARRAGAN",0,4,30,21,2,210,4,16,902,1,2,9,4,2,11,19,31,6,8,85,14,10,2,14,31,4,0,1,10,14,4,34,399,1,0,112,5,0,16,11,9,3,4,1,2,1,27,44,18,0,8,0,11,2,10,15,12,3,6,7,87,3,14,18,63,15,14,10,0,31,10,3,2,17,2,2,13,40,11,6,5,14,14,26,0,2,5
"MARTHA ELENA CASTRO MARQUEZ",0,2,0,27,1,61,0,0,188,0,0,1,0,1,0,1,0,7,1,3,1,0,0,1,2,0,0,0,3,1,0,1,60,0,0,21,0,1,1,4,4,3,1,0,0,0,2,22,0,1,4,0,2,0,0,2,2,1,0,0,17,2,1,0,5,3,13,0,1,7,0,0,2,1,1,0,4,15,5,0,1,2,0,11,0,0,0
"PARTIDO CAMBIO RADICAL",11,126,179,2084,136,18607,66,310,12406,133,61,206,95,66,467,348,194,126,26,296,199,81,165,286,551,158,78,59,200,7,101,104,5338,25,147,3323,96,157,41,57,141,224,82,24,121,150,65,485,379,14,841,223,202,84,126,232,61,60,65,72,9055,57,483,67,824,875,1481,114,177,1731,17,103,41,369,39,131,298,662,94,144,281,141,158,220,32,765,204
"SOLO LISTA PARTIDO CAMBIO RADICAL",2,17,27,151,11,1348,9,25,986,4,18,14,10,5,64,17,35,18,3,45,13,7,30,15,79,13,21,2,32,0,14,18,478,2,21,269,5,29,4,7,5,32,9,7,16,40,10,69,27,2,80,24,23,5,7,51,9,6,4,2,413,11,55,6,76,135,130,8,37,127,3,4,3,33,5,22,30,41,13,27,23,27,16,29,5,500,15
"HELVER FERNANDO SANCHEZ SUAREZ",7,87,111,163,56,516,7,204,976,122,15,33,7,0,51,247,25,92,5,20,34,55,55,234,119,20,22,18,31,4,12,43,427,7,99,279,7,30,7,18,4,84,54,15,77,73,19,70,47,9,44,44,123,31,92,46,26,5,15,32,433,25,297,8,40,71,169,10,22,1082,6,10,5,125,4,87,141,205,6,79,45,24,99,62,14,156,48
"CIRO FERNANDEZ NUÃEZ",1,10,12,966,56,15749,18,55,4984,0,6,116,38,2,227,33,116,8,7,170,95,8,56,13,79,100,33,28,26,1,12,34,1719,9,18,1514,20,65,14,10,11,34,12,0,16,5,13,123,155,2,333,84,22,3,9,18,9,19,28,9,587,11,42,34,571,95,681,10,74,167,4,29,17,165,7,11,97,226,49,9,23,16,16,65,3,29,91
"ALBA LUZ VEGA RODRIGUEZ",1,4,15,66,7,249,17,19,3145,2,11,24,7,39,58,26,12,4,5,13,39,3,10,13,26,8,0,11,80,0,52,2,1679,5,3,737,52,5,5,4,4,0,2,0,7,24,5,153,59,0,277,51,14,42,9,77,4,1,5,8,1018,3,17,3,68,244,338,65,10,200,2,51,11,19,11,5,12,95,10,15,164,62,17,21,5,55,41
"NELSA MEDRANO RADA",0,0,0,42,1,136,3,2,290,0,1,1,0,5,7,6,2,2,2,20,3,5,4,2,9,5,0,0,3,0,2,4,132,0,1,67,0,1,5,5,13,15,1,0,1,2,7,18,5,0,4,3,6,0,4,7,9,2,3,18,94,2,5,4,33,259,70,3,9,18,2,1,1,8,1,2,8,22,10,3,7,9,2,4,0,5,0
"CLAUDIA ROCIO RODRIGUEZ PINZON",0,6,1,18,1,158,2,2,238,2,2,3,1,2,3,2,0,0,1,11,2,0,3,5,78,4,1,0,3,2,4,3,99,1,0,57,5,18,0,7,0,2,2,2,3,0,2,12,7,1,10,5,10,2,0,1,3,0,1,0,68,2,4,5,27,34,15,9,1,14,0,2,0,4,4,3,3,12,2,4,6,1,6,4,3,8,2
"JORGE ARMANDO NAVAS GRANADOS",0,1,10,88,3,284,5,3,1464,1,6,6,32,13,53,16,2,2,0,9,12,2,1,4,143,3,0,0,3,0,1,0,705,1,4,360,5,7,2,4,5,16,1,0,1,1,3,19,78,0,83,11,3,1,0,7,1,26,6,2,6379,1,19,6,5,32,31,8,1,73,0,5,3,13,6,1,3,34,0,7,13,1,1,6,0,10,7
"VICTOR MANUEL CAMACHO CAMARGO",0,1,3,590,1,167,5,0,323,2,2,9,0,0,4,1,2,0,3,8,1,1,6,0,18,5,1,0,22,0,4,0,99,0,1,40,2,2,4,2,99,41,1,0,0,5,6,21,1,0,10,1,1,0,5,25,0,1,3,1,63,2,44,1,4,5,47,1,23,50,0,1,1,2,1,0,4,27,4,0,0,1,1,29,2,2,0
"PARTIDO DE LA U",10,103,83,762,42,2498,61,43,9931,6,33,123,54,10,40,320,43,38,13,1015,97,14,258,66,70,397,26,4,211,11,89,133,3113,79,414,2238,132,257,15,11,24,4,58,4,41,44,63,997,54,12,331,106,78,72,56,154,39,10,26,12,1569,32,388,79,208,271,557,118,11,398,57,70,32,406,125,44,103,404,181,40,31,79,45,113,12,65,72
"SOLO LISTA PARTIDO DE LA U",1,6,10,132,7,346,9,11,723,0,3,26,3,0,10,30,3,2,5,135,5,4,21,9,20,43,3,2,43,1,6,28,312,15,44,210,8,21,4,2,4,1,4,0,12,3,16,105,18,1,52,8,23,9,6,24,11,3,8,0,150,4,28,14,35,35,67,11,2,52,7,5,4,56,5,9,28,73,17,20,1,20,7,16,4,7,4
"GERARDO TAMAYO TAMAYO",5,76,46,429,28,615,35,13,3356,4,16,56,27,3,4,249,19,12,3,740,78,3,228,45,21,312,20,0,95,1,64,39,969,42,347,1062,109,206,2,3,8,1,47,2,15,4,22,572,18,2,65,71,23,13,36,68,21,1,11,2,771,3,118,27,92,81,156,62,6,73,38,35,14,246,47,25,32,127,14,6,6,39,25,48,0,37,38
"HECTOR MURILLO",3,5,13,33,1,88,5,6,525,0,7,2,4,2,1,16,0,10,1,20,3,3,2,0,8,11,0,0,12,0,1,3,164,6,3,126,3,2,5,3,1,0,1,0,9,2,14,61,4,2,29,3,11,3,3,21,0,1,1,2,77,2,18,2,20,25,16,5,1,124,2,7,2,8,0,0,8,76,16,6,12,4,4,22,0,2,10
"ADELA PEÃA FUENTES",1,6,6,38,3,468,8,2,2304,2,2,6,5,1,3,8,8,1,3,35,3,1,6,4,5,16,2,1,15,5,0,6,766,3,7,371,1,8,0,0,1,1,3,1,3,33,1,64,7,3,8,5,9,3,2,15,2,0,1,2,256,17,9,2,28,12,8,5,1,78,1,4,3,13,1,6,9,60,6,2,2,8,4,12,2,9,1
"OLGA NIÃO ROJAS",0,2,0,19,0,451,0,2,223,0,0,7,0,0,2,4,1,3,0,33,3,1,1,3,3,5,0,1,0,0,3,4,74,1,2,47,0,0,1,2,5,0,0,1,0,0,5,17,1,2,5,0,1,0,1,12,2,1,0,1,47,1,4,24,8,8,24,5,0,11,1,0,0,5,1,4,10,16,5,0,0,3,1,0,0,1,0
"FELIX EDUARDO MARTINEZ VARGAS",0,5,1,17,1,56,1,7,383,0,4,20,7,2,10,2,0,10,1,24,2,0,0,5,7,9,0,0,4,1,10,46,306,1,8,79,10,8,2,1,1,0,1,0,2,1,0,82,1,1,93,4,3,26,0,6,2,1,3,0,98,1,4,9,6,25,8,25,1,12,7,9,5,10,71,0,1,27,106,5,2,1,3,2,2,7,6
"LUDWING MANTILLA CASTRO",0,2,7,82,2,442,2,1,2290,0,1,5,8,2,10,11,12,0,0,26,2,2,0,0,6,1,1,0,41,3,5,5,488,11,1,330,0,12,1,0,2,1,1,0,0,1,5,87,4,1,78,15,8,18,8,7,1,2,0,5,156,2,206,0,14,84,272,4,0,39,1,9,2,67,0,0,13,20,15,1,8,4,1,8,3,2,11
"BEATRIZ INES PUYANA MEJIA",0,1,0,12,0,32,1,1,127,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,34,0,2,13,1,0,0,0,2,0,1,0,0,0,0,9,1,0,1,0,0,0,0,1,0,1,2,0,14,2,1,1,5,1,6,1,0,9,0,1,2,1,0,0,2,5,2,0,0,0,0,5,1,0,2
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",10,164,401,696,108,5216,69,260,22402,34,38,213,315,40,104,230,118,21,85,598,96,42,29,66,237,409,20,93,541,12,76,39,10965,197,19,4291,85,109,58,238,65,15,95,28,120,375,152,2860,170,69,1086,107,266,92,22,194,73,19,116,42,3621,116,286,170,606,984,689,115,29,1873,100,189,42,269,47,44,171,938,69,286,33,109,72,726,48,212,251
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",1,26,110,136,30,1177,26,28,5184,4,12,59,36,15,27,40,34,6,9,210,33,13,14,24,48,115,4,16,130,3,18,9,2139,35,10,1077,31,32,15,18,8,4,9,7,32,8,49,369,55,17,200,23,68,18,6,52,17,4,11,12,822,28,56,59,107,236,194,28,1,338,15,36,13,110,17,10,46,186,20,58,14,37,12,145,22,37,54
