"nombre","ALMAGUER","ARGELIA","BALBOA","BOLIVAR","BUENOS AIRES","CAJIBIO","CALDONO","CALOTO","CORINTO","EL TAMBO","FLORENCIA","GUACHENE","GUAPI","INZA","JAMBALO","LA SIERRA","LA VEGA","LOPEZ (MICAY)","MERCADERES","MIRANDA","MORALES","PADILLA","PAEZ (BELALCAZAR)","PATIA (EL BORDO)","PIAMONTE","PIENDAMO","POPAYAN","PUERTO TEJADA","PURACE (COCONUCO)","ROSAS","SAN SEBASTIAN","SANTA ROSA","SANTANDER DE QUILICHAO","SILVIA","SOTARA (PAISPAMBA)","SUAREZ","SUCRE","TIMBIO","TIMBIQUI","TORIBIO","TOTORO","VILLA RICA"
"POLO DEMOCRATICO ALTERNATIVO",30,32,37,113,84,159,128,70,87,159,26,71,132,156,48,51,29,7,50,325,88,40,65,92,14,439,2103,304,33,42,11,12,385,147,48,73,76,173,9,84,34,75
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",3,19,14,37,40,38,38,24,31,43,6,18,110,103,12,7,10,2,9,90,19,8,22,24,9,56,506,73,9,8,6,3,101,41,9,14,16,40,2,32,7,24
"FABIO DORADO GOMEZ",17,5,3,27,21,18,11,7,12,47,9,3,6,16,2,10,3,2,15,93,3,11,12,7,3,19,203,22,9,2,3,1,28,21,8,3,7,20,3,12,0,5
"YULER JAMES GALLEGO BEDOYA",4,0,3,8,2,4,15,7,6,22,0,4,5,4,4,8,5,1,4,7,2,0,6,5,0,14,332,25,4,2,0,3,24,13,7,4,0,10,0,1,19,3
"LUIS ALONSO OSORIO RAMIREZ",3,7,14,32,13,90,41,23,21,36,7,35,5,27,5,22,9,2,18,108,58,14,4,54,1,343,814,161,3,28,2,4,181,53,23,43,52,85,1,11,6,35
"DIEGO MACA YANDIS",3,1,3,9,8,9,23,9,17,11,4,11,6,6,25,4,2,0,4,27,6,7,21,2,1,7,248,23,8,2,0,1,51,19,1,9,1,18,3,28,2,8
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",4,2,2,5,3,12,7,2,4,15,0,2,3,6,1,7,8,0,0,17,8,1,8,14,1,13,140,20,6,0,2,1,71,7,1,2,0,14,0,6,0,6
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",4,2,2,5,3,12,7,2,4,15,0,2,3,6,1,7,8,0,0,17,8,1,8,14,1,13,140,20,6,0,2,1,71,7,1,2,0,14,0,6,0,6
"EDUARDO JOSE GONZALEZ ANGULO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAUL VERNAZA GARCES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GERMAN ALONSO SARRIA OROZCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOSE MANUEL CAMPO LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
