"nombre","ALCALA","ANDALUCIA","ANSERMANUEVO","ARGELIA","BOLIVAR","BUENAVENTURA","BUGA","BUGALAGRANDE","CAICEDONIA","CALI","CALIMA (DARIEN)","CANDELARIA","CARTAGO","DAGUA","EL AGUILA","EL CAIRO","EL CERRITO","EL DOVIO","FLORIDA","GINEBRA","GUACARI","JAMUNDI","LA CUMBRE","LA UNION","LA VICTORIA","OBANDO","PALMIRA","PRADERA","RESTREPO","RIOFRIO","ROLDANILLO","SAN PEDRO","SEVILLA","TORO","TRUJILLO","TULUA","ULLOA","VERSALLES","VIJES","YOTOCO","YUMBO","ZARZAL"
"CARLOS ALBERTO BURGOS CAICEDO",3,2,6,0,2,162,166,6,9,844,9,25,65,27,1,5,136,0,13,3,53,24,5,13,6,8,85,19,4,3,8,3,24,6,2,65,0,4,4,6,25,20
"JAMES SALAZAR LOAIZA",3,3,3,2,0,82,36,9,2,641,2,27,29,19,0,0,59,0,8,4,7,23,5,4,0,11,46,15,4,1,1,1,11,0,2,48,0,0,6,2,32,8
"JOHN JAIRO VELEZ MOYA",2,74,2,0,1,166,82,51,6,1524,9,218,50,5,1,1,32,12,138,19,192,82,2,14,4,6,762,159,17,4,7,8,44,1,4,689,2,0,0,7,24,36
"FLORO HERMES DE SAN JOSE GOMEZ PINEDA",0,7,0,0,2,113,41,5,3,1462,2,54,31,6,0,0,9,1,10,4,4,60,3,5,2,1,68,21,0,0,22,4,16,1,3,71,1,0,2,1,12,9
"PARTIDO OPCION CIUDADANA",272,939,269,137,2156,5873,332,650,442,5752,160,697,3457,132,50,53,615,30,380,248,200,678,170,152,324,582,2281,185,94,453,639,154,335,342,233,790,7,27,12,44,163,156
"SOLO LISTA PARTIDO OPCION CIUDADANA",42,59,38,17,168,440,78,71,36,905,44,107,162,29,9,9,88,2,34,33,20,76,5,26,31,41,299,50,3,30,53,33,38,31,25,97,0,9,3,7,45,27
"FABIAN ANDRES GALLEGO GIRALDO",213,702,156,28,1837,73,79,491,357,957,52,21,3047,7,29,26,16,14,30,81,30,132,140,57,269,501,103,12,44,6,438,3,236,266,104,104,4,6,4,15,23,15
"LUIS ARBEY ARIAS CAICEDO",6,115,4,1,20,4411,27,10,17,978,4,234,49,53,4,1,426,1,22,27,87,308,2,30,9,15,1357,26,4,5,11,54,28,4,37,51,0,5,1,2,32,12
"ISMENIA REYES BOLAÃOS",4,6,42,1,10,31,11,2,4,180,4,5,38,15,2,2,0,0,7,2,6,11,11,3,6,7,18,1,2,2,6,3,3,18,5,63,1,0,0,10,5,11
"LIVIA SERRA RIASCOS",3,15,10,75,25,140,53,32,8,679,32,20,48,4,0,10,11,11,211,47,8,62,2,25,1,7,121,19,1,354,79,32,2,6,40,336,0,0,2,0,9,64
"DIANA MARIEL HERMAN VEIRA",2,4,6,5,10,49,22,4,5,234,6,16,20,1,2,1,16,0,9,14,4,16,6,3,5,1,54,14,23,10,9,1,9,2,6,22,1,1,0,3,23,7
"GUSTAVO ESCOBAR VALBUENA",1,3,1,0,2,91,4,1,2,854,1,198,18,4,0,1,3,0,32,20,8,26,0,0,0,2,18,22,15,3,1,3,1,4,1,9,0,0,2,1,6,3
"NANCY ELENA ACEVEDO MEDINA",1,15,0,0,61,21,5,1,0,172,9,10,16,11,0,0,0,0,4,5,7,3,1,0,0,1,12,3,0,9,13,11,1,2,6,9,0,0,0,4,4,2
"JUAN CARLOS SALAZAR URIBE",0,12,6,7,17,101,20,15,5,142,4,45,30,1,3,2,30,0,15,5,16,19,3,6,2,2,229,22,0,10,15,5,10,7,3,26,0,0,0,2,5,8
"HECTOR FABIO ARBELAEZ SANCHEZ",0,4,4,0,1,19,23,15,2,98,1,11,16,2,0,0,0,1,2,1,3,2,0,1,1,3,4,1,1,6,8,8,0,0,3,39,0,0,0,0,1,4
"JORGE DANNY ESPINEL GIRALDO",0,2,1,0,3,111,3,8,4,221,1,18,4,1,0,0,11,1,6,8,8,12,0,1,0,0,27,10,0,14,5,0,3,1,1,15,1,0,0,0,7,0
"LEDER VIVAS BECERRA",0,1,1,0,1,299,7,0,0,94,1,11,7,3,1,0,13,0,6,5,2,8,0,0,0,2,31,4,1,0,0,0,3,1,0,12,0,0,0,0,2,1
"MAURICIO MONTOYA BLANDON",0,1,0,3,1,87,0,0,2,238,1,1,2,1,0,1,1,0,2,0,1,3,0,0,0,0,8,1,0,4,1,1,1,0,2,7,0,6,0,0,1,2
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",258,261,1092,66,131,1359,3470,199,1043,44055,308,1040,4741,510,535,82,557,148,576,518,259,2062,199,1341,332,194,6469,710,342,199,347,185,1143,285,551,4687,69,318,135,213,892,383
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",258,261,1092,66,131,1359,3470,199,1043,44055,308,1040,4741,510,535,82,557,148,576,518,259,2062,199,1341,332,194,6469,710,342,199,347,185,1143,285,551,4687,69,318,135,213,892,383
"CARLOS ALBERTO CUERO VALENCIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUIS FERNANDO AGUDELO LONDOÃO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARIO PELAEZ SOTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARIA DEL CARMEN RAMIREZ DELGADO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUIS BERNARDO HOYOS MILLAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZORAIDA SANTACRUZ MINA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROBINSON GONZALEZ GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUSTAVO ADOLFO SALAZAR MUÃOZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRISTIAN MAURICIO CLAROS GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELSA DORRONSORO DE ALJURE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO CONSERVADOR COLOMBIANO",248,3512,2075,1304,1832,4696,3266,1755,4574,46914,898,1993,5423,5324,1325,1277,1206,1679,4588,935,920,2170,1137,3608,1552,719,4556,1056,943,2624,6993,580,1730,1670,2639,6529,709,1283,2190,416,2167,3428
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",53,256,238,78,136,495,278,145,488,4167,84,178,450,539,140,153,99,223,180,91,41,254,100,358,134,55,513,75,73,260,304,42,201,223,194,636,55,128,332,49,200,412
"ALVARO LOPEZ GIL",118,739,1051,489,138,1133,677,400,315,13817,389,449,2738,2556,716,645,467,27,947,426,303,782,495,1560,571,517,1951,322,294,836,1156,95,596,812,320,1463,568,153,1619,180,843,1175
"HERIBERTO SANABRIA ASTUDILLO",36,300,548,624,384,1390,1304,452,1125,13104,163,705,1299,244,93,340,347,5,2619,224,326,377,360,408,119,18,905,248,248,318,1103,40,411,68,504,1627,10,21,32,26,339,316
"CESAR AUGUSTO GARCIA GIRALDO",13,61,62,28,50,146,71,47,131,1225,41,54,118,92,42,38,36,38,93,18,22,42,20,140,57,27,258,46,25,79,123,8,47,58,48,154,34,35,70,25,64,140
"EFRAIN VALENCIA VALENCIA",10,42,23,38,63,178,134,41,141,2550,44,66,154,195,71,46,47,63,108,28,79,104,62,147,68,25,262,52,71,106,122,20,73,108,50,213,26,38,82,69,97,112
"HENRY HUMBERTO ARCILA MONCADA",5,2000,95,23,1014,759,494,571,2258,5637,31,331,369,1553,232,16,119,1206,287,70,89,307,78,860,549,56,247,190,186,876,4043,291,310,224,978,1573,5,861,24,16,438,1155
"LILIA ANTUANED CUASQUER REVELO",5,16,19,2,5,32,62,11,9,378,3,11,61,15,5,7,2,2,13,5,3,10,0,30,10,3,31,6,4,23,25,42,16,12,45,177,2,5,2,1,13,28
"RUBEN DARIO AGUDELO PUERTA",3,21,12,8,5,80,46,16,15,1493,60,28,34,20,2,3,17,21,153,14,10,36,5,41,6,2,100,14,9,34,18,16,10,76,384,188,2,5,3,2,33,25
"HERNAN SAID DURAN RODRIGUEZ",3,9,5,5,6,37,59,19,10,537,8,41,63,5,5,17,11,5,90,4,3,14,3,20,9,3,78,20,4,13,13,9,18,5,4,79,2,1,5,5,15,17
"CARLOS ARTURO OVIEDO GUTIERREZ",1,27,6,3,2,54,27,0,8,831,5,13,32,22,1,1,12,3,22,7,4,23,5,6,4,3,28,3,9,1,11,3,6,2,10,38,1,2,5,18,19,9
