"nombre","ALCALA","ANDALUCIA","ANSERMANUEVO","ARGELIA","BOLIVAR","BUENAVENTURA","BUGA","BUGALAGRANDE","CAICEDONIA","CALI","CALIMA (DARIEN)","CANDELARIA","CARTAGO","DAGUA","EL AGUILA","EL CAIRO","EL CERRITO","EL DOVIO","FLORIDA","GINEBRA","GUACARI","JAMUNDI","LA CUMBRE","LA UNION","LA VICTORIA","OBANDO","PALMIRA","PRADERA","RESTREPO","RIOFRIO","ROLDANILLO","SAN PEDRO","SEVILLA","TORO","TRUJILLO","TULUA","ULLOA","VERSALLES","VIJES","YOTOCO","YUMBO","ZARZAL"
"GUSTAVO SUAREZ MONTAÃO",3,4,8,4,7,3744,30,7,18,386,4,5,30,3,0,3,5,0,19,2,3,12,2,8,6,0,40,3,4,2,7,1,17,1,2,31,0,0,1,0,9,15
"ROBERTO CARLOS DURAN TOVAR",3,5,1,0,2,22,13,1,2,1421,3,11,20,7,1,0,30,0,8,1,5,12,35,4,3,3,29,4,3,0,3,12,8,0,2,20,1,0,65,0,572,3
"JAIRO ALONSO VELASQUEZ GIRALDO",3,238,2,0,2,8,16,7,1,221,4,5,4,1,1,0,4,0,7,1,2,17,0,2,0,3,19,2,0,105,8,126,11,4,138,3049,0,0,1,1,3,5
"WALBERTO PALOMINO VALENZUELA",2,15,2,0,0,23,46,17,4,1902,3,11,6,1,0,1,70,0,8,3,0,16,1,4,0,0,224,25,3,2,41,40,5,0,1,33,1,0,0,1,19,35
"JAIR ZAPATA SANCHEZ",2,7,12,5,5,49,26,101,410,254,3,7,54,13,7,6,12,4,18,2,1,22,2,26,91,69,28,3,2,8,148,1,1308,8,7,31,3,2,6,2,16,268
"ALICIA GARCIA ESPINEL",2,2,0,0,0,44,1079,0,2,253,216,5,17,3,1,0,461,0,8,47,104,8,1,5,0,0,26,5,71,4,3,6,6,0,0,21,0,0,0,25,5,6
"LUCY VIVIANA PAREDES SOTO",2,6,0,0,0,21,20,4,2,1958,0,12,14,7,1,0,6,0,10,3,9,32,2,2,1,1,52,10,0,2,0,1,19,1,2,24,0,0,1,1,16,6
"JOSE LIBARDO GOMEZ MARIN",0,1,0,0,0,76,16,1,1,459,1,8,10,4,0,0,2,1,826,0,13,1036,0,1,0,0,39,305,2,2,2,1,3,0,1,34,0,0,1,1,9,0
"PARTIDO ALIANZA VERDE",75,123,119,43,130,1101,2821,139,572,27383,288,839,891,244,71,66,1003,86,1000,171,304,1425,313,347,267,111,4522,1137,280,143,282,145,897,141,84,2051,25,131,279,731,8231,283
"SOLO LISTA PARTIDO ALIANZA VERDE",15,32,21,6,12,222,352,15,68,5706,35,127,210,31,15,6,106,8,91,29,25,258,24,96,37,20,589,91,29,18,35,21,133,22,16,346,1,20,36,35,552,53
