"nombre","ACHI","ALTOS DEL ROSARIO","ARENAL","ARJONA","ARROYO HONDO","BARRANCO DE LOBA","CALAMAR","CANTAGALLO","CARTAGENA","CICUCO","CLEMENCIA","CORDOBA","EL CARMEN DE BOLIVAR","EL GUAMO","EL PEÃON","HATILLO DE LOBA","MAGANGUE","MAHATES","MARGARITA","MARIA LA BAJA","MOMPOS","MONTECRISTO","MORALES","NOROSI","PINILLOS","REGIDOR","RIOVIEJO","SAN CRISTOBAL","SAN ESTANISLAO","SAN FERNANDO","SAN JACINTO","SAN JACINTO DEL CAUCA","SAN JUAN NEPOMUCENO","SAN MARTIN DE LOBA","SAN PABLO","SANTA CATALINA","SANTA ROSA","SANTA ROSA DEL SUR","SIMITI","SOPLAVIENTO","TALAIGUA NUEVO","TIQUISIO (PTO. RICO)","TURBACO","TURBANA","VILLANUEVA","ZAMBRANO"
"PARTIDO ALIANZA VERDE",14,5,6,283,9,37,128,9,5866,19,195,17,223,12,4,10,1067,25,28,228,82,13,17,30,22,13,48,43,43,4,53,11,51,20,34,66,36,12,63,26,25,24,236,102,83,3
"SOLO LISTA PARTIDO ALIANZA VERDE",0,1,0,33,0,6,4,4,1119,2,18,3,24,1,0,1,130,8,0,38,8,0,3,5,0,4,10,3,6,0,12,5,10,4,13,1,7,1,10,1,3,2,38,13,19,1
"ANTONIO CARLOS DAGER DE LA BARRERA",8,0,0,67,0,5,25,1,1031,2,111,1,86,5,2,2,93,2,1,27,27,2,1,2,3,0,2,4,7,0,14,0,13,5,3,14,5,5,3,1,1,4,43,34,21,0
"JOSE POLO PUELLO",3,0,0,17,0,3,15,1,422,0,4,0,37,1,0,1,44,4,3,38,5,2,3,3,1,1,0,3,2,1,1,4,5,5,2,1,4,0,5,2,0,10,26,8,1,1
"DELYS PUERTA ARELLANO",1,0,4,52,0,13,1,0,538,0,15,1,12,3,0,2,509,7,3,7,12,0,3,1,9,3,28,32,10,0,4,0,1,3,2,7,6,0,8,3,0,3,49,23,25,0
"JESUS REYES GOSSELIN",1,2,0,64,2,2,1,0,1179,2,7,6,19,0,0,3,217,0,9,99,6,5,1,13,1,1,2,0,4,0,5,1,11,0,3,4,12,2,26,9,4,0,27,10,2,0
"JUNIO AURELIO FERNANDEZ POLO",1,1,1,36,7,4,79,3,1076,12,37,4,38,0,2,0,43,3,12,10,22,4,2,2,8,3,4,1,11,3,12,1,9,2,8,38,2,4,10,4,17,4,40,12,11,0
"SADY LUZ PAREDES CARREAZO",0,1,1,14,0,4,3,0,501,1,3,2,7,2,0,1,31,1,0,9,2,0,4,4,0,1,2,0,3,0,5,0,2,1,3,1,0,0,1,6,0,1,13,2,4,1
"MOVIMIENTO "" MIRA """,14,7,14,124,9,55,27,6,5263,17,27,32,551,7,4,4,451,17,13,58,131,13,11,5,39,7,5,4,28,4,26,34,36,23,55,27,38,26,16,13,13,7,500,33,31,10
"SOLO LISTA MOVIMIENTO "" MIRA """,3,1,0,21,1,5,7,0,1059,2,3,5,64,2,0,0,69,3,2,10,7,1,4,2,1,1,1,0,3,1,4,2,6,4,5,4,7,2,3,2,0,1,78,5,8,2
"ISMAEL ALFREDO ATENCIO CARVAJALINO",4,1,1,43,6,1,7,1,2979,6,5,6,64,1,2,2,30,6,3,22,8,3,1,1,9,2,1,0,14,1,8,0,9,3,8,16,24,1,3,2,3,1,143,13,10,2
"TRINIDAD DEL CARMEN RIVERA MOLINA",4,0,5,8,0,7,0,1,302,5,6,1,27,0,0,0,36,6,2,4,0,3,2,2,2,1,2,0,0,0,2,3,3,8,2,1,2,1,2,2,0,1,14,3,4,2
"OMAR EVELIO VARGAS RODELO",2,1,5,16,1,37,13,1,344,3,8,2,346,2,1,0,48,1,3,2,105,3,4,0,16,1,1,2,6,1,11,20,10,1,33,4,4,3,5,4,9,2,19,1,2,4
"MONICA PATRICIA ENSUNCHO MAURIO",1,4,2,4,1,4,0,0,232,1,1,15,24,1,1,2,240,1,2,7,9,1,0,0,10,2,0,2,1,1,1,9,1,6,2,2,1,16,0,2,1,1,7,2,1,0
"CARLOS HERMES SUAZA GALVEZ",0,0,0,26,0,0,0,0,169,0,2,1,14,1,0,0,14,0,0,10,0,0,0,0,1,0,0,0,3,0,0,0,5,1,3,0,0,0,1,0,0,0,233,8,4,0
"KATHERINE GUERRERO PAUTT",0,0,1,6,0,1,0,3,178,0,2,2,12,0,0,0,14,0,1,3,2,2,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,3,2,1,0,1,6,1,2,0
