"nombre","ALBAN (SAN JOSE)","ALDANA","ANCUYA","ARBOLEDA (BERRUECOS)","BARBACOAS","BELEN","BUESACO","CHACHAGUI","COLON (GENOVA)","CONSACA","CONTADERO","CORDOBA","CUASPUD (CARLOSAMA)","CUMBAL","CUMBITARA","EL CHARCO","EL PEÃOL","EL ROSARIO","EL TABLON","EL TAMBO","FRANCISCO PIZARRO (SALAHONDA)","FUNES","GUACHUCAL","GUAITARILLA","GUALMATAN","ILES","IMUES","IPIALES","LA CRUZ","LA FLORIDA","LA LLANADA","LA TOLA","LA UNION","LEIVA","LINARES","LOS ANDES (SOTOMAYOR)","MAGUI (PAYAN)","MALLAMA (PIEDRANCHA)","MOSQUERA","NARIÃO","OLAYA HERRERA","OSPINA","PASTO","POLICARPA","POTOSI","PROVIDENCIA","PUERRES","PUPIALES","RICAURTE","ROBERTO PAYAN (SAN JOSE)","SAMANIEGO","SAN BERNARDO","SAN LORENZO","SAN PABLO","SAN PEDRO DE CARTAGO","SANDONA","SANTA BARBARA (ISCUANDE)","SANTACRUZ (GUACHAVES)","SAPUYES","TAMINANGO","TANGUA","TUMACO","TUQUERRES","YACUANQUER"
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",7,7,5,3,12,3,12,16,9,9,4,5,3,10,6,49,8,14,5,30,3,1,7,8,4,21,5,161,11,6,3,4,14,42,4,7,0,3,6,4,6,3,808,39,10,1,5,20,12,4,18,5,12,12,1,20,11,0,7,18,8,59,37,11
"MARIA STELLA CEPEDA DE DULCEY",9,8,13,8,13,9,23,43,9,37,18,6,23,17,4,32,3,29,18,61,13,14,8,11,5,19,16,266,13,35,11,3,32,38,16,10,6,4,8,14,8,9,2838,20,14,5,8,41,20,4,25,5,25,15,20,55,18,4,12,86,14,108,65,29
"LUIS ALBERTO NARVAEZ SANTACRUZ",9,6,18,2,21,3,4,17,1,20,1,2,2,14,2,9,5,3,3,15,4,12,1,8,10,9,2,144,1,5,0,0,34,0,41,10,1,4,1,0,0,3,713,14,9,0,7,14,17,4,2,17,9,19,3,72,5,4,2,11,49,14,58,31
"ELVIA ALEJANDRINA BRAVO ROSAS",8,4,4,6,6,3,3,5,2,3,3,6,6,4,2,2,3,5,3,4,1,1,3,1,1,4,3,50,6,4,0,0,12,16,3,4,0,2,2,1,0,2,256,3,2,1,1,6,8,1,10,3,4,5,3,15,1,3,1,20,0,6,18,10
"GERARDO EDMUNDO BURBANO SANSON",5,0,4,9,6,2,99,7,3,9,8,8,2,9,1,30,3,1,12,7,7,2,15,14,5,10,6,63,12,34,2,2,11,3,10,2,3,5,7,5,16,0,455,3,13,2,8,28,8,2,6,6,2,5,3,15,4,0,2,3,4,179,17,2
"LUIS EVER BOLAÃOS TIMANA",2,3,2,4,131,0,2,3,26,5,3,90,0,16,37,905,3,100,8,20,37,0,8,16,1,8,3,163,5,6,1,14,12,801,0,13,41,4,79,2,1,1,514,34,12,4,4,6,4,2,43,2,10,4,2,16,83,0,4,20,13,165,20,15
"MOVIMIENTO "" MIRA """,8,26,17,12,42,6,38,45,14,32,18,45,18,36,11,39,12,9,20,36,40,11,21,45,19,19,22,1242,62,19,14,21,204,6,17,20,9,10,10,10,43,6,4340,20,35,26,19,107,19,5,120,24,17,61,8,48,9,17,90,29,23,1198,153,77
"SOLO LISTA MOVIMIENTO "" MIRA """,4,4,1,3,10,1,12,5,5,8,4,15,6,13,3,2,3,0,4,9,3,2,8,9,3,6,6,296,4,1,5,2,47,3,1,2,0,4,2,3,12,2,859,5,13,3,7,24,4,0,20,1,7,9,0,17,1,3,16,12,9,192,25,16
"DIEGO BUITRAGO RAMIREZ",2,0,3,2,11,1,19,7,1,5,6,2,3,7,3,29,3,2,3,10,12,2,5,7,10,6,4,58,8,2,2,11,8,1,5,6,2,0,6,3,16,1,1354,2,2,1,1,17,6,2,5,17,0,1,1,6,5,0,1,2,2,328,11,32
"AMANDA PATRICIA MONTENEGRO CORAL",1,5,8,5,11,2,2,23,5,13,1,3,5,3,1,3,0,4,6,7,2,3,2,13,1,1,6,113,10,8,4,5,128,1,9,7,5,4,0,4,8,1,1533,6,7,17,5,27,6,2,80,1,6,12,5,19,1,8,70,7,7,69,92,16
"DORA LILIA LANDAZURI CORTES",1,2,1,0,3,0,0,2,1,1,3,0,0,4,2,1,2,1,2,2,15,3,0,13,1,3,2,42,1,3,1,2,5,1,1,1,1,1,0,0,1,0,196,2,2,1,0,3,0,1,6,0,1,1,1,1,1,2,0,1,0,525,11,10
"EDITH CONSUELO CALPA CABRERA",0,15,4,1,5,0,0,3,0,2,4,22,2,5,0,1,0,0,0,1,3,0,3,3,3,2,3,673,3,2,1,0,9,0,0,1,0,1,0,0,2,2,208,1,10,3,6,30,2,0,3,0,3,2,1,2,0,4,1,1,1,31,10,0
"RICHARD ARTURO VELASQUEZ ROSERO",0,0,0,1,2,2,5,5,2,3,0,3,2,4,2,3,4,2,5,7,5,1,3,0,1,1,1,60,36,3,1,1,7,0,1,3,1,0,2,0,4,0,190,4,1,1,0,6,1,0,6,5,0,36,0,3,1,0,2,6,4,53,4,3
"CENTRO DEMOCRÃTICO MANO FIRME CORAZON GRANDE",2,4,0,0,3,0,2,6,0,1,0,7,2,2,2,0,1,1,0,1,0,0,2,0,1,1,0,32,5,2,0,0,10,0,1,1,0,1,0,0,2,1,167,1,0,0,4,6,2,1,3,2,7,0,5,2,0,2,2,7,2,16,17,3
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZON GRANDE",2,4,0,0,3,0,2,6,0,1,0,7,2,2,2,0,1,1,0,1,0,0,2,0,1,1,0,32,5,2,0,0,10,0,1,1,0,1,0,0,2,1,167,1,0,0,4,6,2,1,3,2,7,0,5,2,0,2,2,7,2,16,17,3
"JOSE ALFONSO ROSALES OSORIO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEGUNDO SIGIFREDO SUAREZ ACHICAIZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUIS EGHMAD YAMIL RINCON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARIA ELENA DUEÃAS ROSERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARILYN GEOVANNA MERCHANCANO LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
