"nombre","ALGARROBO","ARACATACA","ARIGUANI (EL DIFICIL)","CERRO DE SAN ANTONIO","CHIVOLO","CIENAGA","CONCORDIA","EL BANCO","EL PIÃON","EL RETEN","FUNDACION","GUAMAL","NUEVA GRANADA","PEDRAZA","PIJIÃO DEL CARMEN","PIVIJAY","PLATO","PUEBLOVIEJO","REMOLINO","SABANAS DE SAN ANGEL","SALAMINA","SAN SEBASTIAN DE BUENAVISTA","SAN ZENON","SANTA ANA","SANTA BARBARA DE PINTO","SANTA MARTA","SITIONUEVO","TENERIFE","ZAPAYAN","ZONA BANANERA (SEVILLA)"
"HECTOR JULIO PIZARRO PAJARO",37,74,67,11,19,355,10,611,19,24,600,648,37,12,41,58,384,201,13,13,35,37,35,41,38,6068,41,22,16,306
"DOLMEDES ENRIQUE ORTIZ PACHECO",6,11,3,4,5,70,2,36,3,6,57,25,0,0,4,4,17,3,1,3,3,2,0,2,4,264,7,3,4,25
"LUCY ESTELA ARGUELLO CAMPO",0,9,10,0,6,33,1,5,1,5,16,9,1,1,2,6,11,8,1,2,0,3,1,1,0,622,10,2,3,32
"JOSE LUIS CASTRO PEROZO",0,4,2,0,1,22,3,13,1,1,4,48,0,0,2,4,7,2,0,0,3,4,0,3,1,161,5,0,1,5
"FARIDES RAFAELA GONZALEZ CORTEZ",0,9,4,6,2,11,3,6,2,2,15,44,2,1,4,11,9,5,0,3,3,3,2,3,1,119,21,2,0,7
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",49,262,271,7,64,661,14,359,13,64,782,30,67,16,28,73,303,58,20,64,24,24,6,94,32,5546,40,12,19,163
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",24,146,179,2,28,315,1,171,5,29,421,9,36,8,18,37,155,21,11,35,9,8,1,50,12,2975,22,7,14,81
"LAURA FERNANDA CASADO PISCIOTTI",17,77,73,3,30,178,6,90,6,20,227,16,27,3,6,24,99,21,7,17,13,9,3,30,17,1559,14,4,4,54
"WILSON ANTONIO SOLANO CARDONA",8,39,19,2,6,168,7,98,2,15,134,5,4,5,4,12,49,16,2,12,2,7,2,14,3,1012,4,1,1,28
"MOVIMIENTO "" MIRA """,28,82,39,8,12,829,4,180,66,33,637,29,14,9,8,551,63,67,7,13,338,13,2,27,12,2839,40,2,12,100
"SOLO LISTA MOVIMIENTO "" MIRA """,5,7,4,1,1,90,0,22,10,9,69,2,2,3,1,58,16,10,1,0,16,2,2,5,3,498,5,1,0,11
"LILIBET YULEINE ROCA REDONDO",13,23,15,2,2,48,2,18,18,6,20,2,8,6,4,38,30,15,4,7,5,5,0,9,3,1842,20,0,1,38
"CANDELARIA GONZALEZ MEDINA",5,33,1,4,4,12,1,3,7,15,495,7,1,0,0,21,3,4,0,2,13,1,0,0,0,104,6,0,0,17
"RUBIS ELIZABETH HERNANDEZ PABON",5,14,14,1,1,655,1,13,2,1,35,3,2,0,3,8,7,34,0,2,7,3,0,3,3,224,6,1,7,30
"JOHNNY BUSTAMANTE LUNA",0,1,1,0,2,14,0,120,0,1,9,15,1,0,0,8,2,3,1,1,2,0,0,3,0,101,2,0,1,4
"ALBERTO LUIS TORRES ARAQUE",0,4,4,0,2,10,0,4,29,1,9,0,0,0,0,418,5,1,1,1,295,2,0,7,3,70,1,0,3,0
"POLO DEMOCRATICO ALTERNATIVO",25,59,68,3,22,420,9,158,30,38,236,26,16,4,9,79,66,50,12,24,12,41,20,33,10,3141,78,5,24,137
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",7,12,9,0,3,59,0,20,1,7,30,1,6,1,2,16,9,8,5,5,3,7,1,5,3,566,32,1,5,28
"RAQUEL MARIA BONILLA IGUARAN",9,16,28,1,17,80,6,36,13,16,30,13,2,3,3,32,20,31,4,12,3,5,10,18,6,1303,20,4,14,73
"JORGE FRANCISCO NIETO RODRIGUEZ",4,8,16,1,1,53,1,26,3,3,132,1,0,0,3,5,8,2,0,3,2,2,0,0,0,164,4,0,3,14
"HUGO EUCLIDES MEZA JIMENEZ",2,16,8,1,0,61,0,33,3,8,9,2,6,0,1,13,9,2,0,1,1,13,4,3,0,442,6,0,2,9
"CESAR JULIO FLOREZ RODRIGUEZ",2,6,6,0,0,160,1,37,0,0,23,6,2,0,0,3,17,3,2,1,2,11,3,4,0,402,10,0,0,9
"ZULEYMA DANIT GUTIERREZ BOTO",1,1,1,0,1,7,1,6,10,4,12,3,0,0,0,10,3,4,1,2,1,3,2,3,1,264,6,0,0,4
"PARTIDO UNION PATRIOTICA ""UP""",5,20,19,3,10,120,4,26,10,7,23,27,17,1,4,15,13,47,15,3,6,3,11,6,1,576,3,3,1,58
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",5,20,19,3,10,120,4,26,10,7,23,27,17,1,4,15,13,47,15,3,6,3,11,6,1,576,3,3,1,58
"ANABEL ZUÃIGA CESPEDES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FERNANDO JOSE HERRERA ARIZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALBERTO SEGUNDO ALVAREZ URUETA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVID HERNANDO BERMUDEZ GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISMELDA MARIA TORRES VALDES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
