"nombre","ALPUJARRA","ALVARADO","AMBALEMA","ANZOATEGUI","ARMERO (GUAYABAL)","ATACO","CAJAMARCA","CARMEN DE APICALA","CASABIANCA","CHAPARRAL","COELLO","COYAIMA","CUNDAY","DOLORES","ESPINAL","FALAN","FLANDES","FRESNO","GUAMO","HERVEO","HONDA","IBAGUE","ICONONZO","LERIDA","LIBANO","MARIQUITA","MELGAR","MURILLO","NATAGAIMA","ORTEGA","PALOCABILDO","PIEDRAS","PLANADAS","PRADO","PURIFICACION","RIOBLANCO","RONCESVALLES","ROVIRA","SALDAÃA","SAN ANTONIO","SAN LUIS","SANTA ISABEL","SUAREZ","VALLE DE SAN JUAN","VENADILLO","VILLAHERMOSA","VILLARRICA"
"ALIRIO URREGO MESA",2,6,1,7,34,10,10,5,0,28,8,111,4,39,48,1,13,16,22,5,12,721,34,20,75,31,12,4,23,12,5,5,27,9,21,13,1,5,5,5,9,3,62,1,4,6,7
"LILY IPUZ MEDINA",2,3,0,0,2,1,1,0,1,23,2,7,1,1,21,2,7,3,10,0,5,187,1,2,15,5,3,0,3,4,0,3,9,1,0,4,0,0,1,2,4,1,2,0,0,1,0
"PARTIDO ALIANZA VERDE",7,87,59,22,173,129,265,99,21,136,133,191,100,18,1104,52,172,90,322,100,243,5929,50,143,606,287,302,55,415,647,18,508,191,158,168,133,14,125,252,60,145,60,26,336,132,52,20
"SOLO LISTA PARTIDO ALIANZA VERDE",1,16,4,4,24,15,32,7,3,27,13,35,11,4,110,8,23,17,57,6,40,915,6,15,104,53,42,6,67,79,2,64,42,22,27,34,5,12,16,13,36,5,5,44,33,5,8
"JAIRO ALBERTO ACOSTA PAVA",4,61,29,5,63,91,72,71,9,38,52,62,15,7,318,13,56,42,55,72,54,2496,16,62,326,144,219,32,110,359,8,367,76,86,98,58,4,28,33,21,66,2,8,13,52,30,3
"RAFAEL ELIAS MORENO LIZCANO",1,0,0,0,4,1,14,3,5,13,3,3,2,4,30,11,6,8,6,2,24,303,4,7,14,10,10,0,16,18,2,7,21,9,6,4,3,8,5,15,3,0,1,1,0,0,3
"FREDDY HUMBERTO PEREZ SUAREZ",1,2,18,11,31,3,23,0,4,16,44,51,3,1,396,2,35,13,31,11,29,1112,14,37,61,18,22,5,186,150,2,42,19,33,7,7,2,55,10,5,26,42,8,254,31,11,5
"MARIBEL NAVARRO MUÃOZ",0,5,1,1,3,13,7,1,0,31,5,11,2,1,14,2,3,2,12,3,71,165,3,11,19,14,3,2,23,19,2,12,11,4,0,17,0,6,5,0,0,1,1,2,6,0,1
"MARIBEL LOPEZ QUINTERO",0,2,6,1,43,5,115,17,0,9,4,24,66,1,54,13,20,3,128,1,20,675,5,10,65,40,4,8,4,17,1,12,9,2,26,3,0,6,173,2,11,6,1,14,8,1,0
"ISRAEL OTALORA ARIAS",0,1,1,0,5,1,2,0,0,2,12,5,1,0,182,3,29,5,33,5,5,263,2,1,17,8,2,2,9,5,1,4,13,2,4,10,0,10,10,4,3,4,2,8,2,5,0
"MOVIMIENTO "" MIRA """,6,134,9,52,92,23,399,36,18,373,41,97,29,29,629,23,470,375,352,50,423,10306,32,127,529,656,340,12,97,113,117,56,70,51,166,84,35,50,266,50,122,21,21,25,56,31,65
"SOLO LISTA MOVIMIENTO "" MIRA """,0,9,3,14,21,2,74,2,3,185,1,29,5,4,121,8,92,93,77,11,46,1639,14,20,115,147,57,4,21,25,18,9,8,8,34,13,4,8,33,24,29,3,1,3,8,4,15
"OLGA INES PINILLA MARIN",3,2,1,5,40,2,8,3,8,4,0,2,3,1,13,10,16,208,38,22,334,282,1,63,269,358,12,3,4,9,78,3,7,1,5,5,0,6,4,11,3,8,2,4,2,11,2
"ERIKA MARIA RAMOS DAVILA",2,13,0,24,4,9,19,15,2,21,13,11,3,3,66,3,48,19,23,2,9,3496,3,17,44,36,27,3,11,14,6,10,13,8,10,9,15,10,16,3,19,1,3,7,11,5,0
"CARLOS ANDRES RAMIREZ REY",1,6,3,1,8,4,22,1,0,20,5,10,1,5,20,1,18,24,19,4,13,3008,1,6,14,33,20,0,9,11,5,5,32,4,17,5,4,14,3,1,61,1,1,8,8,2,3
"GRACIELA RODRIGUEZ GOMEZ",0,7,1,2,3,3,5,1,4,124,3,40,1,12,18,0,4,6,167,3,7,184,0,4,13,28,13,1,47,30,4,0,4,29,77,50,1,7,199,6,3,1,0,1,3,7,1
"JOSE ALIRIO RODRIGUEZ SIERRA",0,1,0,0,3,0,7,14,1,6,16,3,10,4,333,0,257,8,18,0,5,242,11,2,9,27,199,1,5,4,1,0,0,0,9,1,4,2,5,0,1,0,11,2,2,0,41
"NICOLAS LEONARDO TRUJILLO GIRALDO",0,96,1,6,13,3,264,0,0,13,3,2,6,0,58,1,35,17,10,8,9,1455,2,15,65,27,12,0,0,20,5,29,6,1,14,1,7,3,6,5,6,7,3,0,22,2,3
"POLO DEMOCRATICO ALTERNATIVO",5,33,41,88,60,75,133,33,15,218,39,147,14,27,212,16,362,255,131,29,84,4194,41,287,369,163,85,6,73,129,63,28,55,34,164,27,42,81,42,27,43,22,9,15,86,34,16
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",2,4,12,31,11,11,43,4,6,47,7,52,3,10,57,2,49,71,34,7,32,1057,14,49,147,63,26,1,24,22,22,6,19,7,37,7,1,11,10,8,17,3,4,5,19,9,6
"NUBIA FLOR RUSSI",3,9,11,12,30,42,30,18,1,48,17,71,8,11,83,9,152,66,40,6,30,1456,11,65,108,62,24,4,33,35,30,13,13,12,52,7,16,29,9,8,14,7,4,5,31,12,4
"MARTHA LIGIA ARIAS ALBINO",0,5,0,8,3,8,9,1,0,28,6,13,1,2,14,3,7,11,6,1,6,223,2,7,38,7,6,1,9,7,2,1,7,0,6,4,1,8,11,1,3,2,0,0,5,6,1
"LEONEL HOMEZ ORTIZ",0,6,12,8,5,4,10,5,2,49,0,5,0,3,9,0,8,24,23,8,3,524,0,15,16,13,12,0,1,8,0,6,4,3,23,2,0,6,1,1,5,1,1,2,7,1,3
"PEDRO ANTONIO CARO CAMACHO",0,1,3,11,6,3,18,3,2,9,4,3,1,0,25,2,131,19,12,2,11,244,8,15,32,8,5,0,6,19,5,2,8,1,9,2,0,15,5,4,2,2,0,0,7,6,0
"JAVIER ALEXANDER SALINAS LUCERO",0,8,3,18,5,7,23,2,4,37,5,3,1,1,24,0,15,64,16,5,2,690,6,136,28,10,12,0,0,38,4,0,4,11,37,5,24,12,6,5,2,7,0,3,17,0,2
