"nombre","AGUA DE DIOS","ALBAN","ANAPOIMA","ANOLAIMA","APULO","ARBELAEZ","BELTRAN","BITUIMA","BOJACA","CABRERA","CACHIPAY","CAJICA","CAPARRAPI","CAQUEZA","CARMEN DE CARUPA","CHAGUANI","CHIA","CHIPAQUE","CHOACHI","CHOCONTA","COGUA","COTA","CUCUNUBA","EL COLEGIO","EL PEÃON","EL ROSAL","FACATATIVA","FOMEQUE","FOSCA","FUNZA","FUQUENE","FUSAGASUGA","GACHALA","GACHANCIPA","GACHETA","GAMA","GIRARDOT","GRANADA","GUACHETA","GUADUAS","GUASCA","GUATAQUI","GUATAVITA","GUAYABAL DE SIQUIMA","GUAYABETAL","GUTIERREZ","JERUSALEN","JUNIN","LA CALERA","LA MESA","LA PALMA","LA PEÃA","LA VEGA","LENGUAZAQUE","MACHETA","MADRID","MANTA","MEDINA","MOSQUERA","NARIÃO","NEMOCON","NILO","NIMAIMA","NOCAIMA","PACHO","PAIME","PANDI","PARATEBUENO (LA NAGUAYA)","PASCA","PUERTO SALGAR","PULI","QUEBRADANEGRA","QUETAME","QUIPILE","RICAURTE","SAN ANTONIO DEL TEQUENDAMA","SAN BERNARDO","SAN CAYETANO","SAN FRANCISCO","SAN JUAN DE RIOSECO","SASAIMA","SESQUILE","SIBATE","SILVANIA","SIMIJACA","SOACHA","SOPO","SUBACHOQUE","SUESCA","SUPATA","SUSA","SUTATAUSA","TABIO","TAUSA","TENA","TENJO","TIBACUY","TIBIRITA","TOCAIMA","TOCANCIPA","TOPAIPI","UBALA","UBAQUE","UBATE","UNE","UTICA","VENECIA","VERGARA","VIANI","VILLAGOMEZ","VILLAPINZON","VILLETA","VIOTA","YACOPI","ZIPACON","ZIPAQUIRA"
"JOSE EDILBERTO CAICEDO SASTOQUE",170,87,89,26,138,18,14,2,26,6,36,768,29,58,168,28,912,96,122,97,534,347,117,152,37,186,381,47,25,98,113,262,19,757,90,37,805,8,136,308,74,82,47,11,47,9,39,13,331,179,55,12,77,388,28,458,14,38,87,205,650,22,228,5,117,38,6,140,25,45,191,15,19,21,81,103,27,153,292,135,116,179,341,276,198,1226,249,106,344,182,17,51,358,156,65,582,12,4,117,1273,12,19,26,409,23,15,6,48,26,31,91,459,244,156,14,11570
"ALVARO BERNAL PARRA",165,35,31,146,185,35,1,25,135,2,309,62,9,5,17,133,280,36,14,74,7,18,8,249,3,177,4990,5,4,63,11,168,2,21,6,3,213,13,8,1153,31,56,17,36,7,1,36,3,27,243,87,13,139,12,27,276,3,11,232,2,110,17,37,30,27,0,4,21,62,231,5,4,2,4,97,13,18,40,20,26,39,225,19,34,7,432,27,26,160,7,1,5,14,4,41,23,7,5,82,73,2,10,4,23,5,66,9,9,134,3,1,186,11,18,124,145
"ALFREDO GUILLERMO MOLINA TRIANA",128,69,76,279,95,165,21,79,45,38,27,81,20,31,18,210,288,88,55,20,83,234,58,189,63,40,256,39,46,89,15,8095,31,52,41,8,472,294,32,1067,95,7,23,78,539,57,12,8,239,168,109,5,201,232,6,153,386,269,135,29,18,264,12,3,187,961,127,430,211,145,6,0,508,330,218,31,133,336,65,189,159,136,135,762,13,2560,119,155,118,35,6,22,82,50,29,34,267,39,106,187,8,70,60,171,545,2,24,22,29,116,59,35,53,21,10,180
"FABIOLA JACOME RINCON",37,38,22,244,131,116,4,13,11,4,96,3871,9,31,85,7,951,50,83,73,47,190,22,316,67,102,406,32,83,113,80,1277,75,97,108,5,385,147,239,125,85,30,8,19,3,9,30,39,553,498,178,15,132,23,81,1038,40,30,82,32,176,240,30,207,165,9,69,250,56,97,4,10,34,8,113,42,37,109,58,48,113,118,190,115,148,1737,240,78,187,7,93,38,453,109,140,593,49,44,103,154,2,12,7,342,3,16,10,26,37,14,20,173,25,18,114,1030
"GLORIA LILIANA RODRIGUEZ VALENCIA",9,12,12,43,11,24,16,9,11,14,20,23,10,23,5,16,135,10,42,41,28,32,5,42,11,49,111,5,7,172,12,121,9,83,51,5,227,14,63,104,36,7,13,4,0,12,12,64,21,47,18,18,38,69,7,147,27,11,275,14,31,19,4,10,87,12,5,41,9,26,5,13,6,15,38,15,57,9,4,27,17,42,23,22,23,316,58,26,28,27,12,6,30,12,6,31,10,10,42,189,7,20,18,39,6,3,7,11,3,5,58,17,28,19,12,76
"LILIANA MARIA NAVARRO ARDILA",7,2,15,13,5,7,0,14,1,2,16,56,0,7,2,11,2570,10,4,3,36,44,5,14,0,21,59,6,1,25,2,68,24,15,4,0,62,16,6,11,23,0,0,7,4,1,1,1,15,9,2,2,12,1,1,51,2,25,31,0,10,12,3,4,10,0,2,21,2,22,1,0,5,0,12,14,10,2,2,4,13,8,25,13,11,233,11,7,6,9,3,2,19,13,3,18,0,0,6,37,2,1,0,32,4,0,0,2,6,0,3,5,1,1,1,75
"HUGO BARAJAS CORREA",4,7,1,4,2,9,4,0,2,3,13,95,0,5,1,2,163,1,4,16,4,25,1,16,0,25,63,3,2,43,3,74,2,8,5,4,75,6,11,18,10,2,2,11,5,0,5,2,14,10,2,1,9,4,4,194,4,9,66,0,26,6,2,4,11,0,3,24,4,29,1,0,32,3,4,4,5,4,1,4,6,12,13,13,8,387,20,29,19,2,2,1,14,3,3,11,6,0,30,74,3,1,5,23,4,0,8,11,3,0,2,5,8,6,1,168
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",319,207,847,644,406,538,34,44,181,42,398,1299,214,388,88,113,4755,305,351,255,243,1233,117,811,212,1171,3602,534,163,1499,75,5855,114,250,261,76,2904,207,179,953,439,34,123,139,193,63,78,121,610,2066,328,236,682,100,130,2448,75,333,2303,28,208,166,267,393,670,44,80,289,104,575,75,160,90,533,305,347,255,48,638,367,548,195,870,803,245,8239,511,798,136,224,61,116,603,114,236,723,221,28,696,779,55,105,142,1086,95,133,126,439,209,48,152,4181,987,107,231,1924
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",86,92,306,199,102,210,21,19,93,23,119,563,90,184,39,35,2254,149,172,119,115,545,54,307,76,566,1528,258,69,561,41,2224,89,122,128,44,1089,70,92,300,219,13,71,67,108,42,35,66,353,346,100,109,260,43,82,1118,37,107,994,11,105,77,58,59,223,12,34,143,38,234,30,40,54,165,132,122,112,24,146,222,152,89,316,346,98,4295,268,468,62,77,20,52,297,50,71,335,69,15,219,330,23,53,85,426,55,36,48,125,74,16,84,345,187,57,79,648
"HECTOR ALFONSO VERA ALMANZA",113,3,45,5,6,24,1,0,7,0,2,301,11,1,3,19,401,10,18,18,45,87,12,43,3,209,290,6,4,357,8,200,1,8,3,2,160,1,7,168,7,0,3,1,4,1,1,5,21,44,0,2,13,5,2,360,0,3,367,0,30,5,5,3,10,0,4,4,1,150,2,1,2,5,11,18,3,0,9,37,10,10,197,20,65,617,43,76,6,11,6,8,79,21,6,115,3,1,17,73,0,3,3,198,1,1,5,3,2,0,3,63,6,1,1,560
"RUBEN DARIO MOLANO PIÃEROS",46,27,126,62,31,77,7,8,30,3,66,210,23,76,22,39,752,48,73,67,46,228,22,171,70,152,560,78,20,211,12,918,12,47,53,16,348,16,28,251,80,4,19,14,32,5,8,12,116,208,180,6,177,22,27,433,10,37,297,7,36,28,22,18,277,22,15,56,24,52,8,14,10,24,40,95,39,7,77,42,55,29,164,90,35,1363,89,114,28,103,10,9,100,12,47,147,19,3,58,151,15,23,26,131,18,16,6,183,111,10,22,226,96,19,89,476
"HILDA GUTIERREZ",44,9,277,320,204,153,0,9,18,4,157,34,10,29,10,3,195,69,11,7,9,58,10,190,7,34,463,15,51,77,4,1850,4,10,32,1,420,40,14,27,20,7,7,9,6,1,25,13,31,1347,25,11,80,11,3,117,5,15,181,1,5,33,1,5,24,2,12,30,26,44,29,7,13,314,46,67,63,5,10,29,20,11,25,240,18,419,24,21,6,3,7,33,33,12,89,29,109,5,279,24,0,6,12,159,10,5,28,19,1,0,5,30,659,2,34,40
"FELIX EDUARDO GUERRERO OREJUELA",10,7,43,13,38,26,2,2,11,0,17,84,13,73,8,5,242,12,53,7,11,200,12,37,46,50,304,148,5,76,1,291,3,29,16,2,454,58,10,27,52,5,3,7,32,5,2,9,48,54,12,10,66,10,7,161,4,152,150,4,21,9,19,81,72,6,6,40,6,26,4,6,9,9,42,20,14,9,121,10,133,22,104,51,6,762,31,35,11,18,6,4,48,11,7,34,11,0,32,100,11,11,7,88,1,31,6,14,9,18,12,54,13,11,12,90
"FANNY JANNETH CIFUENTES RIVERA",10,15,17,25,11,22,2,4,10,5,15,33,13,14,4,4,135,5,10,25,8,55,1,34,8,70,118,9,3,149,2,137,3,23,14,6,307,4,17,15,18,4,14,3,5,8,3,12,13,39,6,16,14,4,4,115,16,9,203,1,6,8,7,13,30,1,6,6,2,28,2,1,1,12,26,12,16,1,16,11,17,15,34,19,17,269,16,46,8,6,10,6,13,4,10,31,3,2,43,51,4,8,4,35,2,9,3,12,5,0,24,40,20,8,4,46
"BERNARDO OLAYA TRIANA",9,53,15,16,12,18,1,2,10,4,16,46,50,6,2,8,695,9,12,9,7,49,3,24,1,71,291,14,9,46,5,184,1,7,9,4,88,16,8,157,33,1,3,34,5,1,4,3,18,25,5,79,66,2,4,105,2,7,75,2,3,4,152,197,31,1,2,8,6,35,0,90,1,3,6,9,3,2,258,14,156,17,22,28,5,393,23,22,6,6,0,4,23,3,5,28,4,2,40,34,1,0,3,42,4,35,30,80,6,3,1,3412,5,6,9,39
"MARIA ISABEL GIRALDO DIAZ",1,1,18,4,2,8,0,0,2,3,6,28,4,5,0,0,81,3,2,3,2,11,3,5,1,19,48,6,2,22,2,51,1,4,6,1,38,2,3,8,10,0,3,4,1,0,0,1,10,3,0,3,6,3,1,39,1,3,36,2,2,2,3,17,3,0,1,2,1,6,0,1,0,1,2,4,5,0,1,2,5,2,8,9,1,121,17,16,9,0,2,0,10,1,1,4,3,0,8,16,1,1,2,7,4,0,0,3,1,1,1,11,1,3,3,25
"PARTIDO CONSERVADOR COLOMBIANO",199,533,192,680,99,1241,53,259,148,89,337,1237,1846,3353,1272,135,1548,1396,2290,1701,457,610,912,921,174,393,2008,2245,1327,725,186,1683,554,302,1681,720,2960,210,213,2114,837,34,998,589,762,948,178,1432,1163,419,169,854,538,778,1168,1452,847,1044,791,145,588,249,480,658,2718,280,627,372,603,249,93,933,1843,238,199,408,1287,145,806,210,1030,694,1147,708,619,4618,938,618,563,808,592,195,756,269,95,177,141,957,405,1060,61,1609,1028,1252,1299,1026,299,1061,145,442,2646,1523,372,246,285,1499
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",11,28,24,31,5,104,5,11,12,7,28,116,164,177,67,10,249,106,118,123,33,57,96,61,18,55,179,167,63,79,7,179,50,20,128,33,234,6,19,157,78,1,31,42,40,35,32,86,120,49,13,69,43,41,79,150,87,58,105,6,29,31,35,44,176,19,37,34,46,21,12,36,80,34,20,35,64,7,66,23,57,45,87,63,43,556,96,73,50,55,31,21,51,43,18,26,10,51,47,88,8,155,66,102,97,40,15,111,11,32,138,68,43,15,20,114
"BUENAVENTURA LEON LEON",104,103,88,72,30,614,6,119,26,34,109,258,866,363,555,60,426,78,854,82,122,366,488,319,74,115,965,1229,239,69,36,310,332,36,359,110,338,161,34,1049,155,11,116,430,35,50,2,657,141,100,73,276,176,182,554,410,282,279,73,102,228,100,109,312,758,16,351,148,342,138,11,403,121,121,21,61,210,15,333,42,659,38,422,399,121,2305,170,426,223,120,313,67,134,113,12,56,35,512,156,84,12,378,168,460,60,302,226,299,76,58,375,653,43,184,118,410
"ORLANDO ALFONSO CLAVIJO CLAVIJO",52,63,30,73,26,244,2,61,14,12,28,716,702,2387,499,36,310,1086,993,297,99,100,259,347,64,36,310,663,910,65,127,624,136,34,665,528,412,6,79,475,425,7,575,25,643,636,134,303,738,60,48,276,50,71,290,250,166,643,117,10,107,60,285,98,1037,187,137,143,113,19,52,285,1574,28,18,213,461,106,198,39,148,182,459,108,221,738,242,45,123,231,78,67,386,20,41,30,56,240,65,439,20,889,704,282,1078,429,12,566,29,294,170,465,70,32,67,403
"HERNAN HUMBERTO GARZON RODRIGUEZ",21,320,8,456,32,171,39,59,88,25,135,80,66,367,130,22,304,51,278,1142,31,42,21,100,10,138,364,138,95,458,14,341,14,195,486,23,1756,19,76,349,136,14,255,58,7,212,6,356,96,148,29,188,235,458,205,498,262,34,432,26,197,30,39,171,649,42,71,32,52,49,14,180,33,26,125,70,486,13,121,92,93,387,77,49,214,424,352,44,120,382,156,26,155,68,14,46,19,132,105,354,16,124,66,330,36,232,24,25,20,45,1899,197,198,5,60,446
"ESPERANZA LOZANO MOSQUERA",4,1,8,0,1,9,0,0,0,0,10,29,7,8,6,1,89,9,16,5,153,18,10,3,2,7,25,9,5,21,0,23,5,6,4,2,55,2,0,16,6,0,3,4,2,1,0,5,7,4,1,9,10,1,6,35,3,1,22,0,11,5,2,2,16,0,1,1,4,5,0,0,4,0,1,6,4,1,13,0,9,5,20,6,8,120,16,3,11,3,4,2,6,8,4,5,0,1,1,10,2,10,4,13,0,0,0,12,2,1,17,7,2,2,4,46
"LINED YURANI REY HERRERA",3,5,5,6,0,23,0,1,2,2,13,9,6,14,7,1,81,11,10,22,5,9,7,39,1,17,99,12,3,16,0,37,7,1,11,11,40,5,1,29,17,0,10,4,2,2,3,6,14,6,1,11,6,5,8,54,7,7,15,0,6,2,5,22,26,0,2,2,4,3,0,20,4,2,4,8,5,0,30,3,23,16,17,13,5,123,17,9,9,2,3,6,6,3,2,4,1,5,7,22,1,4,2,22,1,7,2,14,3,2,12,107,4,4,8,18
"JORGE EMILIO MONTOYA GOYENECHE",2,6,19,11,4,30,1,5,3,3,11,10,19,21,3,4,61,51,9,14,9,14,13,37,5,23,28,18,8,13,2,123,3,7,15,2,67,4,3,29,8,0,6,11,27,9,1,11,32,45,4,22,9,14,21,35,35,16,19,1,6,18,1,4,31,15,5,10,11,6,2,5,20,24,3,8,32,2,21,8,18,19,17,38,5,215,18,10,14,8,2,4,10,11,0,6,12,10,20,20,1,33,11,34,23,8,9,24,4,10,21,20,12,3,4,23
"YURANY MARCELA RAMIREZ AVILA",2,7,10,31,1,46,0,3,3,6,3,19,16,16,5,1,28,4,12,16,5,4,18,15,0,2,38,9,4,4,0,46,7,3,13,11,58,7,1,10,12,1,2,15,6,3,0,8,15,7,0,3,9,6,5,20,5,6,8,0,4,3,4,5,25,1,23,2,31,8,2,4,7,3,7,7,25,1,24,3,23,2,48,32,2,137,27,8,13,7,5,2,8,3,4,4,8,6,4,43,1,16,7,9,4,8,11,10,0,0,14,6,0,1,4,39
"POLO DEMOCRATICO ALTERNATIVO",52,34,96,60,50,106,6,11,50,120,48,437,64,68,44,8,1071,64,85,50,79,205,31,146,38,98,837,68,27,340,15,963,22,78,48,19,580,30,69,103,72,10,34,19,29,5,19,29,290,181,54,41,78,24,52,454,35,44,465,8,90,21,13,44,83,10,63,42,91,144,14,19,26,57,54,62,66,7,59,58,60,58,192,138,83,2407,208,75,151,20,22,16,124,26,28,123,22,18,79,284,37,65,59,208,35,67,51,47,18,20,56,126,169,36,28,895
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",12,4,21,16,11,29,2,3,17,35,14,94,6,13,6,3,369,16,27,13,20,67,7,29,11,26,212,22,11,85,3,287,7,20,9,3,150,6,21,30,17,1,7,5,11,3,9,7,64,49,18,12,29,8,11,149,14,8,163,1,11,4,7,18,25,3,16,8,26,46,4,7,7,27,19,10,22,2,17,27,17,11,41,31,13,744,54,22,38,8,5,4,37,6,7,43,5,2,20,59,15,18,15,63,7,1,17,14,6,4,23,33,32,13,8,207
"JUAN FRANCISCO PINZON PINZON",17,18,46,22,18,29,3,7,19,45,16,128,35,37,23,3,373,33,29,18,23,77,7,61,19,32,395,18,9,153,7,264,8,23,27,13,208,6,25,35,28,3,10,6,12,1,6,6,101,61,30,11,21,6,12,149,7,17,170,3,60,10,5,5,39,3,23,20,28,54,8,8,12,7,13,32,16,2,18,20,19,19,109,26,20,843,51,20,32,5,9,7,39,9,12,45,2,9,25,80,12,36,26,76,14,60,7,20,8,7,17,36,33,15,7,392
"LUZ AMERICA ARDILA CORTES",9,6,7,5,4,26,0,1,5,12,5,62,16,9,9,1,129,4,16,5,10,31,13,20,3,20,67,25,5,34,3,123,3,17,8,2,54,9,9,17,5,1,14,5,1,1,1,13,56,23,4,9,19,3,24,65,8,18,38,2,8,3,0,5,9,1,12,3,14,7,0,4,2,7,8,6,10,1,10,4,12,14,14,43,4,254,60,10,60,4,5,4,28,3,3,16,4,5,10,107,3,8,10,26,4,3,17,4,3,8,7,17,9,6,6,104
"CARLOS FRANCISCO MEDINA",6,2,2,2,1,3,0,0,1,8,4,11,0,3,4,0,42,3,3,3,2,4,1,6,2,0,31,0,2,13,0,67,1,3,1,0,38,1,5,5,6,1,2,1,2,0,0,1,10,7,0,0,3,1,1,19,0,0,21,0,0,1,0,4,3,0,6,2,10,6,0,0,1,2,5,0,8,0,4,1,5,4,9,13,2,139,11,2,3,0,1,0,3,3,2,4,2,0,6,6,0,0,2,10,7,0,1,0,0,1,1,3,0,1,2,41
"GERARDO HUMBERTO RIVERA GRAJALES",4,3,18,5,4,9,0,0,5,5,8,19,4,2,1,1,40,1,5,5,8,5,2,16,0,9,76,1,0,28,1,69,1,3,0,1,83,3,4,10,6,3,1,1,0,0,1,0,7,20,1,2,2,1,3,33,1,1,31,1,5,0,0,6,2,0,4,3,6,16,0,0,1,0,4,9,5,1,5,1,2,5,9,12,2,163,3,7,10,3,0,0,7,2,2,4,1,0,11,17,6,0,2,8,2,2,2,5,1,0,4,33,85,0,2,54
"CARMEN CECILIA TORRES HERNANDEZ",3,0,0,1,3,3,1,0,1,4,0,21,2,1,1,0,71,2,3,4,11,4,1,6,1,10,33,1,0,13,1,42,0,2,1,0,19,1,2,3,3,1,0,1,3,0,0,0,13,2,0,3,0,0,1,11,1,0,24,1,4,0,0,1,1,1,1,2,2,7,0,0,2,5,2,3,4,1,3,2,2,3,5,5,4,150,10,8,4,0,1,0,2,3,0,6,3,0,0,8,0,1,0,15,1,1,1,1,0,0,2,2,2,0,0,45
"CARLOS ALONSO SOLANO",1,1,2,9,9,7,0,0,2,11,1,102,1,3,0,0,47,5,2,2,5,17,0,8,2,1,23,1,0,14,0,111,2,10,2,0,28,4,3,3,7,0,0,0,0,0,2,2,39,19,1,4,4,5,0,28,4,0,18,0,2,3,1,5,4,2,1,4,5,8,2,0,1,9,3,2,1,0,2,3,3,2,5,8,38,114,19,6,4,0,1,1,8,0,2,5,5,2,7,7,1,2,4,10,0,0,6,3,0,0,2,2,8,1,3,52
"PARTIDO ALIANZA VERDE",33,28,49,40,22,225,4,13,61,24,72,370,21,31,16,6,1463,27,49,65,59,570,21,129,10,119,669,37,20,301,50,1000,28,61,95,7,326,872,38,58,70,2,30,6,16,5,6,23,192,75,24,17,53,25,21,480,14,9,408,6,42,24,9,20,69,3,61,12,140,45,4,7,14,21,29,64,37,6,44,20,29,56,156,353,29,3417,183,121,59,17,21,22,104,36,31,132,17,7,58,150,7,23,36,142,20,26,9,18,15,17,56,169,78,22,42,536
"SOLO LISTA PARTIDO ALIANZA VERDE",5,9,19,5,6,29,1,8,17,5,16,109,3,9,3,3,428,11,10,16,11,100,6,33,2,41,203,8,2,79,10,169,5,17,8,2,96,43,12,10,26,1,4,1,2,1,4,3,62,26,2,3,15,6,1,171,2,2,149,1,15,9,0,6,15,1,3,3,14,13,2,2,0,8,11,15,7,3,13,9,12,19,41,27,7,796,66,23,20,5,7,7,27,11,7,48,3,1,18,50,0,6,9,51,6,3,2,3,8,2,18,49,11,5,7,129
"JOSE MAURICIO MORA RODRIGUEZ",13,2,9,8,2,10,0,1,14,8,8,106,6,8,5,0,518,8,8,9,23,375,5,14,2,27,126,6,6,59,28,84,5,13,27,4,48,4,10,16,13,1,7,2,7,0,0,6,40,8,2,2,11,5,4,118,3,4,65,2,7,2,4,2,15,0,3,2,25,6,0,0,8,0,5,6,8,1,6,4,4,14,33,21,8,387,32,14,15,4,0,10,32,10,3,28,1,2,17,27,0,3,12,45,0,6,0,6,1,1,5,35,24,10,14,161
"JESUS ERNESTO MENDOZA VARGAS",4,3,3,4,5,5,1,1,1,0,6,39,3,4,3,0,59,1,8,2,0,15,3,6,4,9,39,11,4,12,3,33,3,3,14,1,24,11,1,4,10,0,0,0,0,0,0,8,19,8,0,8,8,1,3,34,1,0,15,1,4,2,0,2,9,1,2,1,5,8,0,3,1,4,4,0,1,0,2,0,5,5,9,9,2,203,26,8,5,0,2,2,12,4,6,15,0,3,3,8,0,1,6,5,1,13,3,4,0,1,5,22,5,4,0,21
"JOSE GREGORIO HERNANDEZ JARA",3,4,4,7,2,163,0,0,13,4,28,33,2,4,1,0,151,1,2,15,6,15,2,56,1,12,175,3,5,42,1,478,2,5,14,0,42,789,2,13,12,0,0,1,1,2,0,2,15,8,17,2,2,5,1,34,1,0,58,2,2,4,5,5,11,0,46,1,85,6,1,2,0,0,4,33,13,1,6,2,3,4,33,260,1,1390,11,10,8,0,0,2,6,2,2,20,11,0,0,18,0,0,2,10,7,1,2,2,1,11,8,39,21,0,11,57
"MARIA HELENA ZARATE ZARATE",3,1,4,3,0,3,0,0,2,1,1,16,0,0,1,0,46,1,1,4,0,10,1,0,0,2,37,2,0,11,0,14,0,0,0,0,11,7,2,2,2,0,1,1,0,0,0,0,11,2,0,0,2,1,1,20,0,0,17,0,1,0,0,1,6,0,0,0,3,1,0,0,1,0,1,3,0,1,0,0,0,1,10,4,3,140,12,1,1,0,0,0,5,0,0,3,0,0,7,11,1,4,2,6,0,0,0,0,2,1,2,4,0,0,0,18
"KATHERINE GOMEZ ROJAS",3,5,1,5,3,8,1,2,8,4,1,16,5,1,2,1,100,1,3,12,4,14,0,12,0,18,40,4,0,62,1,96,0,12,29,0,56,5,8,4,2,0,2,0,2,1,1,4,15,7,2,1,9,5,7,49,5,1,77,0,7,3,0,1,7,0,4,0,0,2,1,0,0,1,3,3,7,0,11,3,1,7,6,12,4,148,17,16,4,5,5,0,7,1,1,7,0,0,4,20,5,3,4,8,0,0,1,0,2,0,11,10,10,2,4,25
"MONICA ELIANA VELASCO OLARTE",1,0,5,3,1,0,1,0,5,1,3,20,1,3,0,2,93,1,4,3,11,13,0,1,1,6,22,1,3,10,3,26,12,2,1,0,8,1,1,6,4,0,0,1,2,0,1,0,7,0,0,0,3,0,3,20,1,0,14,0,1,0,0,2,2,0,1,2,2,2,0,0,1,0,0,0,1,0,2,1,3,3,16,1,2,134,4,10,2,2,7,0,7,2,2,7,0,0,5,4,1,1,0,9,2,0,0,0,0,0,0,2,2,0,1,21
"PABLO ALFONSO CARRIZOSA DE NARVAEZ",1,4,4,5,3,7,0,1,1,1,9,31,1,2,1,0,68,3,13,4,4,28,4,7,0,4,27,2,0,26,4,100,1,9,2,0,41,12,2,3,1,0,16,0,2,1,0,0,23,16,1,1,3,2,1,34,1,2,13,0,5,4,0,1,4,1,2,3,6,7,0,0,3,8,1,4,0,0,4,1,1,3,8,19,2,219,15,39,4,1,0,1,8,6,10,4,2,1,4,12,0,5,1,8,4,3,1,3,1,1,7,8,5,1,5,104
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",25,12,82,24,6,20,2,7,14,1,16,57,9,28,19,4,112,9,14,98,38,38,16,52,6,37,120,18,9,94,7,77,28,24,28,11,118,12,22,32,14,1,6,4,13,17,2,15,26,44,15,16,21,11,11,66,3,16,136,2,25,2,4,10,27,5,8,9,8,13,2,10,4,8,11,75,19,11,11,13,18,12,40,11,17,1013,23,22,50,14,8,8,16,11,66,14,6,7,20,45,5,27,19,31,7,7,6,37,13,5,26,114,27,18,7,82
"SOLO LISTA PARTIDO ALIANZA SOCIAL INDEPENDIENTE",4,0,12,7,3,9,1,3,1,0,5,14,2,7,2,1,26,1,2,10,9,5,1,8,0,6,16,2,1,15,1,24,5,1,6,2,22,3,4,10,4,0,2,0,1,1,1,1,5,7,3,2,6,1,4,12,0,3,15,0,3,1,1,0,9,2,0,1,1,0,1,3,0,4,2,7,4,1,1,1,5,4,6,4,1,82,4,7,9,0,1,1,2,3,6,1,4,2,10,6,0,5,3,5,0,0,1,11,1,3,3,31,6,4,2,17
"WILLIAM GERARDO GARZON GARZON",13,9,1,3,1,2,0,4,5,0,1,3,0,3,2,2,13,2,3,74,0,10,0,9,2,17,19,1,2,42,3,8,0,14,7,1,23,1,7,1,3,0,2,2,1,3,0,4,1,7,3,4,2,2,1,14,0,0,23,0,5,0,0,3,7,0,1,0,0,6,0,0,1,0,2,3,3,0,1,5,1,4,4,0,5,51,6,9,22,7,4,3,3,1,3,4,1,0,3,17,2,4,2,9,2,0,1,1,1,0,18,6,4,9,0,12
"EMIR TADEO FRESNEDA CASTIBLANCO",6,3,7,4,2,4,0,0,1,0,3,10,4,12,12,0,12,6,4,7,10,6,4,16,3,6,28,2,6,13,2,15,5,4,11,7,12,0,10,8,3,0,1,1,4,0,1,0,4,14,4,5,7,5,4,13,1,9,29,0,8,0,0,2,5,1,1,4,3,4,1,4,2,3,1,8,8,2,4,2,3,1,16,3,6,44,6,2,11,4,1,4,4,5,6,7,1,3,3,12,3,14,8,11,5,2,2,16,2,1,2,9,2,2,1,32
"YURY FRASSER ACEVEDO",1,0,53,2,0,0,0,0,0,0,2,3,0,1,0,0,24,0,0,0,15,5,1,7,0,3,6,0,0,6,0,1,0,0,0,0,4,0,0,2,0,0,0,0,7,0,0,0,1,1,2,0,0,0,0,9,0,0,11,1,2,0,0,1,2,0,1,0,0,1,0,0,0,1,1,1,0,7,1,2,0,0,8,0,2,625,0,0,0,1,0,0,3,0,3,0,0,0,3,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,6
"ELSA GRISELDA ROJAS VALBUENA",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,0,1,0,0,4,0,0,3,0,3,0,4,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,51,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,3
"WALDINA TORRES MARTINEZ",0,0,8,2,0,2,0,0,6,1,1,21,3,4,3,0,12,0,5,1,4,5,9,6,1,1,33,13,0,11,1,13,18,0,4,0,6,4,0,5,1,1,1,0,0,13,0,9,3,9,3,3,5,3,2,10,1,4,24,0,5,1,1,2,4,1,3,4,3,1,0,2,1,0,2,54,4,1,1,3,7,2,2,1,1,97,1,3,4,1,2,0,3,2,47,1,0,2,0,3,0,3,3,3,0,5,2,4,4,1,3,26,15,3,2,6
"JUAN MANUEL GONZALEZ GUTIERREZ",0,0,0,6,0,3,1,0,1,0,4,6,0,1,0,1,24,0,0,4,0,1,1,5,0,4,14,0,0,4,0,13,0,1,0,0,42,4,1,6,2,0,0,1,0,0,0,1,12,4,0,2,1,0,0,4,1,0,32,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,3,1,0,0,3,0,1,1,3,2,2,63,2,0,2,1,0,0,1,0,0,1,0,0,1,4,0,0,2,2,0,0,0,4,4,0,0,35,0,0,2,6
