"nombre","AGUADAS","ANSERMA","ARANZAZU","BELALCAZAR","CHINCHINA","FILADELFIA","LA DORADA","LA MERCED","MANIZALES","MANZANARES","MARMATO","MARQUETALIA","MARULANDA","NEIRA","NORCASIA","PACORA","PALESTINA","PENSILVANIA","RIOSUCIO","RISARALDA","SALAMINA","SAMANA","SAN JOSE","SUPIA","VICTORIA","VILLAMARIA","VITERBO"
"JHON FREDY MUÃOZ GIL",22,21,2,13,23,9,49,6,449,12,370,4,2,17,3,7,10,9,33,16,9,10,36,46,5,29,12
"EDILSA DEL SOCORRO CASTILLO BURBANO",8,22,23,15,26,7,72,2,307,2,7,4,4,6,0,3,10,6,41,11,19,3,1,15,33,26,9
"VICTORIA EUGENIA PLITT GOMEZ",3,21,2,38,40,2,26,1,430,0,6,0,0,8,0,3,10,2,28,9,7,3,8,12,2,53,5
"JOSE LOPEZ POSADA",2,7,1,2,26,4,17,2,304,4,5,0,0,8,0,0,4,2,7,4,5,0,3,3,1,29,2
"PARTIDO ALIANZA VERDE",69,95,59,34,235,34,165,16,3112,54,27,29,6,67,14,36,49,59,150,19,66,61,13,195,27,344,47
"SOLO LISTA PARTIDO ALIANZA VERDE",28,52,18,7,86,12,69,5,1096,14,10,11,2,26,2,10,15,23,83,9,14,17,5,38,11,102,27
"JORGE IVAN GOMEZ SANCHEZ",20,28,23,12,77,12,21,5,916,21,6,11,3,24,8,6,9,26,16,4,22,27,2,110,9,127,13
"SANDRA LORENA GUTIERREZ TRUJILLO",18,7,5,9,22,4,16,4,449,16,11,3,1,14,2,17,19,3,14,6,19,13,4,25,2,39,6
"ERIKA MILENA OCAMPO VELASQUEZ",2,1,0,0,7,0,27,1,110,2,0,0,0,0,0,0,1,1,9,0,1,1,0,8,1,11,0
"JAIME ALBERTO OSORIO GARCIA",1,2,0,2,12,0,10,0,162,0,0,1,0,2,0,0,2,4,18,0,2,2,0,9,3,16,0
"LUIS FERNANDO GUTIERREZ VARGAS",0,5,13,4,31,6,22,1,379,1,0,3,0,1,2,3,3,2,10,0,8,1,2,5,1,49,1
