"nombre","ABREGO","ARBOLEDAS","BOCHALEMA","BUCARASICA","CACHIRA","CACOTA","CHINACOTA","CHITAGA","CONVENCION","CUCUTA","CUCUTILLA","DURANIA","EL CARMEN","EL TARRA","EL ZULIA","GRAMALOTE","HACARI","HERRAN","LA ESPERANZA","LA PLAYA","LABATECA","LOS PATIOS","LOURDES","MUTISCUA","OCAÃA","PAMPLONA","PAMPLONITA","PUERTO SANTANDER","RAGONVALIA","SALAZAR","SAN CALIXTO","SAN CAYETANO","SANTIAGO","SARDINATA","SILOS","TEORAMA","TIBU","TOLEDO","VILLA CARO","VILLA DEL ROSARIO"
"LUIS FELIPE GUZMAN BELTRAN",127,0,2,13,5,5,19,0,14,1016,1,5,1,17,7,4,28,4,7,18,1,78,4,1,119,21,5,2,2,7,44,20,2,4,0,15,12,1,3,73
"ALVARO CRISTANCHO TOSCANO",33,20,4,9,12,10,27,3,15,1019,5,7,4,3,28,3,4,8,8,0,8,97,1,3,46,62,12,11,9,3,8,28,1,14,6,3,54,20,3,100
"YULEIMA GARCIA INFANTE",7,4,5,1,0,2,16,7,0,987,13,0,3,6,31,9,4,17,0,3,1,101,10,2,29,32,6,0,13,7,2,19,7,5,4,2,60,5,2,53
"MIGUEL ANGEL HERRERA VILLACID",2,1,1,2,1,1,13,2,1,673,2,4,0,1,6,3,1,1,7,1,0,50,1,0,12,19,3,1,3,1,1,3,1,5,2,1,20,4,2,79
"CLEOTILDE VILLAMIZAR MONTES",2,0,1,2,0,0,11,0,4,650,0,3,2,10,18,0,3,0,0,1,0,60,1,0,13,11,2,1,2,2,3,7,1,1,1,7,13,1,0,60
"POLO DEMOCRATICO ALTERNATIVO",114,31,39,14,35,3,97,19,500,3400,32,29,77,499,99,12,354,9,50,44,16,353,27,10,705,480,24,31,29,23,174,27,18,53,10,917,245,22,19,342
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",11,11,6,3,4,1,29,4,55,822,6,6,17,130,27,1,67,3,13,5,6,91,0,2,97,138,6,7,3,5,26,2,3,9,3,152,58,9,1,88
"PABLO EMILIO MARTINEZ BLANCO",59,12,12,7,4,1,42,5,26,1160,8,7,10,27,41,3,12,2,8,4,6,131,20,4,122,223,13,11,7,6,9,8,8,20,2,27,61,6,3,117
"YESMINA VEGA OJEDA",21,0,1,3,1,0,11,4,405,467,1,0,44,317,6,1,254,0,6,35,1,34,2,2,407,27,0,1,2,3,122,4,3,10,0,719,52,2,2,28
"MARCELINO MARTINEZ GONZALEZ",14,6,1,0,1,1,7,2,4,429,7,6,1,10,13,5,8,4,0,0,3,45,5,1,32,40,3,2,5,7,12,11,0,8,3,9,19,2,6,51
"MARIA DE LA CRUZ FUENTES CALDERON",7,2,1,0,2,0,3,1,5,196,3,0,4,9,1,2,9,0,5,0,0,20,0,1,20,21,0,6,1,0,2,0,3,1,1,5,17,2,0,24
"JANETH ZAMUDIO PAREDES",2,0,18,1,23,0,5,3,5,326,7,10,1,6,11,0,4,0,18,0,0,32,0,0,27,31,2,4,11,2,3,2,1,5,1,5,38,1,7,34
"MOVIMIENTO "" MIRA """,57,23,14,26,21,8,36,17,27,3908,17,11,5,9,43,63,6,3,21,14,6,410,4,12,386,210,17,23,13,4,9,8,14,16,13,6,133,18,15,368
"SOLO LISTA MOVIMIENTO "" MIRA """,11,3,3,4,3,1,7,3,6,656,5,0,0,0,12,12,1,2,3,2,1,66,0,0,72,50,5,4,3,0,0,3,1,3,3,1,30,7,1,58
"JAIRO HERNANDO LEAL JAUREGUI",20,14,8,2,10,5,15,7,14,670,6,3,1,1,14,44,2,1,8,0,2,46,0,5,31,118,11,6,5,1,0,0,2,4,6,1,19,5,7,152
"ANDREA ALEXANDRA OJEDA PEREZ",16,5,0,18,4,1,2,0,5,326,1,1,0,7,2,5,2,0,6,11,2,147,2,6,70,10,1,1,5,0,8,1,5,3,0,3,66,2,4,27
"JOSE GREGORIO BOTELLO ORTEGA",7,0,2,0,0,1,9,1,1,1824,4,4,2,1,9,0,0,0,1,0,0,118,2,1,205,20,0,9,0,3,1,4,5,1,0,1,8,2,1,109
"NERY ROSA SALAMANCA MALDONADO",3,1,1,2,4,0,3,6,1,432,1,3,2,0,6,2,1,0,3,1,1,33,0,0,8,12,0,3,0,0,0,0,1,5,4,0,10,2,2,22
