"Nombre","Partido","Amazonas","Antioquia","Arauca","Atlántico","Bogotá","Bolívar","Boyacá","Caldas","Caquetá","Casanare","Cauca","Cesar","Chocó","Córdoba","Cundinamarca","Guainía","Guaviare","Huila","La Guajira","Magdalena","Meta","Nariño","Norte de Santander","Putumayo","Quindío","Risaralda","SanAndrés","Santander","Sucre","Tolima","Valle del Cauca","Vaupés","Vichada","Consulados"
"RUBE AURORA GARCIA SANCHEZ","LIBERALES",1,119,10,75,106,69,31,13,6,5,67,23,13,31,67,0,3,11,17,63,16,22,16,15,6,30,7,76,89,25,89,3,4,4
"CONSUELO GRACIANO SIERRA","LIBERALES",1,262,3,24,192,21,25,10,4,5,13,33,9,12,57,0,6,10,8,23,12,13,23,4,15,19,1,56,3,93,39,0,2,3
"LUZ MARINA ROMERO MOTTA","LIBERALES",1,50,1,19,145,27,18,9,1,2,26,6,2,8,27,1,1,2,8,19,9,6,3,1,4,9,6,26,5,12,47,1,2,1
"JACK GARCIA MORALES","LIBERALES",1,46,2,13,92,8,13,13,2,2,18,7,4,8,34,0,1,4,2,9,10,14,8,4,3,10,2,21,1,8,56,0,0,1
"ANGELA TAYIRA MATEUS GOMEZ","LIBERALES",1,44,3,18,168,20,22,12,2,0,18,7,1,8,32,0,1,4,4,26,4,7,10,0,6,11,5,18,3,10,38,1,0,2
"ELIZABETH CASTILLO VARGAS","LIBERALES",1,161,0,36,814,29,32,75,3,4,21,6,4,38,66,0,0,15,20,463,14,17,20,2,8,23,3,39,8,31,95,0,0,15
"JAIRO MANTILLA COLMENARES","LIBERALES",1,759,76,2793,3596,211,1770,189,25,27,60,313,33,58,617,1,4,761,927,76,48,646,519,22,188,311,0,201,31,740,142,2,1,6
"ALBERTO PALMA CUERVO","LIBERALES",0,319,8,70,210,308,19,45,9,6,32,21,30,20,54,0,3,48,8,50,18,205,39,10,48,34,6,38,8,74,70,0,3,8
"MARIA CRISTINA GRANADOS VELASQUEZ","LIBERALES",0,54,2,12,168,14,7,27,41,1,26,1,5,5,30,1,0,5,3,8,2,14,11,9,10,12,3,14,8,19,36,0,0,2
"LIDIO ARTURO GARCIA TURBAY","LIBERALES",0,453,17,664,522,39211,37,859,6,6,15,1292,4,2806,217,0,0,14,1290,3203,13,36,286,2,23,67,712,2048,1954,55,81,0,1,18
"JUAN LUIS CASTRO CORDOBA","LIBERALES",0,5497,565,516,1821,447,78,317,200,110,1124,124,3042,199,269,0,228,344,400,435,820,748,811,22,76,735,56,620,323,205,2230,77,51,1002
"PEDRO MARY MUVDI ARANGUENA","LIBERALES",0,42,1,35,110,55,13,47,2,1,14,30,16,7,15,0,0,4,10,21,7,16,75,2,8,31,3,207,17,12,74,2,0,1
